Width	Heigh	Diameter	Season	Manufacturer
129	3	36	3	143
24	28	22	1	41
19	18	17	2	95
99	30	39	2	89
64	23	18	4	32
63	20	11	3	144
128	1	33	1	158
98	8	13	4	59
13	3	20	2	46
119	38	35	3	170
34	14	21	2	142
125	37	1	1	7
29	17	4	1	7
83	24	17	2	2
4	9	22	1	68
23	15	6	4	116
146	25	2	3	39
149	9	30	3	154
76	32	13	3	2
28	18	41	1	1
12	24	35	4	161
18	10	19	4	148
64	24	33	4	128
86	31	39	3	42
89	30	20	2	69
110	5	12	1	206
147	10	14	3	30
57	35	21	1	33
131	34	26	1	124
118	31	8	3	169
123	33	34	4	7
30	19	5	2	32
40	12	3	3	186
136	4	37	4	21
18	19	18	1	144
112	2	7	4	24
33	10	9	1	140
23	7	16	2	39
61	38	24	4	5
131	4	29	2	143
71	11	31	1	94
108	12	11	2	17
61	37	10	1	161
97	30	25	3	20
38	1	36	4	172
125	22	40	4	154
58	28	27	1	192
97	15	28	2	19
104	2	15	3	157
45	31	32	1	91
32	26	38	1	198
120	21	23	1	147
95	22	9	1	72
59	30	22	4	145
113	28	29	3	109
93	7	13	3	106
46	18	32	1	6
83	33	16	1	44
83	3	31	3	140
116	19	17	2	193
114	13	2	2	170
2	12	38	2	1
103	28	19	4	150
90	30	15	3	194
112	16	14	1	164
149	30	35	3	14
66	36	21	1	183
97	6	3	3	164
138	38	36	2	118
84	14	10	2	61
4	16	11	4	73
71	3	18	2	65
95	18	28	3	182
126	35	26	2	15
71	18	37	3	203
107	1	5	1	104
143	24	6	2	10
119	15	4	4	196
30	23	20	2	150
96	12	40	2	205
1	4	23	2	75
65	20	33	3	185
91	9	1	3	54
129	24	25	2	178
106	29	8	1	50
59	9	27	1	129
132	19	41	4	49
151	6	12	4	17
33	1	24	2	60
43	36	39	2	75
76	17	7	4	3
80	10	34	2	129
30	14	30	4	20
29	16	28	2	75
114	35	33	2	188
117	34	3	1	16
20	15	35	1	66
143	12	2	3	133
96	32	17	3	9
5	18	30	2	157
131	25	18	3	175
113	18	15	3	28
135	2	19	2	73
97	32	16	1	102
145	10	11	1	58
99	18	4	4	200
90	38	40	1	74
78	37	24	3	57
85	18	8	4	80
23	2	12	2	145
111	3	10	2	26
21	35	1	4	104
23	11	41	1	177
20	37	9	2	170
60	27	7	2	180
83	9	26	1	138
76	37	32	2	198
116	25	29	1	128
132	24	38	2	29
145	5	34	4	107
113	6	39	4	9
135	23	31	3	127
66	6	20	4	127
71	13	22	3	77
145	7	37	4	37
148	10	6	1	12
35	34	25	4	71
13	13	21	3	9
75	36	5	4	164
60	29	36	1	178
43	18	14	3	2
13	21	27	1	26
42	12	13	4	68
38	18	23	1	104
61	11	3	2	130
40	26	10	4	12
82	7	28	4	38
8	1	14	2	12
50	23	38	4	206
72	24	40	1	67
103	5	2	3	132
31	34	21	1	161
14	36	12	2	141
145	26	24	4	104
152	16	23	4	170
86	28	1	4	90
86	33	13	4	35
83	25	37	3	17
26	27	29	1	45
121	12	5	4	171
84	20	8	4	1
146	20	41	1	172
53	26	27	3	21
13	4	25	4	135
1	22	6	4	198
50	30	33	1	196
77	36	22	2	201
1	34	31	4	104
90	15	20	2	88
149	11	18	1	48
99	14	11	4	150
39	34	34	4	164
62	10	26	2	123
23	38	9	4	151
66	31	30	3	46
141	26	32	4	29
110	34	19	1	191
22	32	35	1	89
11	4	15	4	55
32	23	7	4	118
11	26	36	3	15
61	31	17	3	62
122	37	39	4	12
82	16	4	3	93
107	27	16	4	197
146	33	23	3	50
55	8	15	2	32
38	14	17	1	89
67	23	28	3	59
113	26	40	3	134
3	20	37	1	205
25	33	1	2	191
109	24	41	3	145
3	26	8	3	135
151	19	32	1	127
42	36	34	3	12
69	20	35	4	127
75	32	26	3	5
83	6	29	3	119
65	8	10	4	104
29	36	6	1	5
52	9	21	3	110
142	6	7	4	201
98	12	22	3	51
47	12	12	3	158
148	33	31	1	19
41	5	13	4	99
64	15	24	2	10
100	15	2	2	148
131	12	36	4	93
104	25	25	2	195
14	38	20	1	7
108	2	27	1	8
105	20	3	4	77
75	21	4	3	197
113	4	33	1	38
4	24	16	1	159
39	17	18	2	128
32	11	30	3	204
5	11	19	1	162
71	31	38	3	159
102	32	39	3	35
29	27	9	3	203
121	22	11	3	99
108	17	5	4	9
128	36	1	4	129
128	29	25	3	18
109	29	14	2	23
130	35	20	2	106
146	10	35	1	27
126	9	12	1	157
56	31	34	4	81
76	38	3	1	21
145	16	41	2	29
85	1	10	1	114
40	7	22	2	13
67	9	4	4	13
148	16	7	2	165
31	11	27	2	9
29	31	13	4	177
145	36	18	2	99
10	1	2	4	179
113	16	32	2	5
13	35	14	3	38
2	5	11	2	30
7	8	37	4	47
4	32	5	3	96
70	27	38	1	13
27	34	36	4	106
8	20	23	2	4
32	7	31	3	75
35	22	8	2	184
37	9	6	1	27
117	13	33	4	110
57	24	28	1	34
129	33	26	4	9
113	12	30	1	118
38	35	29	1	112
131	6	9	4	193
107	19	40	1	199
82	2	21	3	4
59	13	15	1	165
13	38	19	2	138
24	38	39	2	86
7	11	16	2	96
8	6	24	4	73
141	7	3	2	1
91	2	17	1	139
63	26	20	4	71
148	19	19	1	6
128	26	12	1	94
40	36	2	2	117
145	29	29	2	134
148	28	9	3	111
110	13	11	3	44
61	17	40	4	147
120	10	24	1	201
18	29	23	3	150
44	6	33	4	138
19	16	13	1	21
3	29	7	1	97
121	23	1	2	116
94	9	34	4	66
116	8	6	3	196
77	27	18	1	82
7	13	28	4	134
98	35	8	3	27
37	7	25	1	130
101	15	15	3	99
2	35	36	1	113
69	29	16	2	135
71	30	41	4	135
125	11	17	3	180
116	37	30	4	159
131	28	32	4	98
94	4	35	4	12
18	18	31	2	132
47	8	21	4	182
44	25	4	3	3
56	13	10	4	54
59	17	26	1	20
98	11	39	3	136
145	31	14	1	108
25	7	38	3	2
92	25	27	4	185
33	13	5	3	21
60	24	37	2	81
57	27	22	2	105
109	32	34	2	113
124	14	20	4	100
140	28	7	1	28
9	24	24	4	135
150	30	2	4	91
127	36	19	3	49
92	17	35	3	53
89	31	11	4	190
62	8	16	3	117
32	25	40	1	81
20	2	29	2	133
28	11	23	2	174
116	38	37	2	24
115	18	33	4	17
104	36	17	4	51
78	20	9	4	15
110	19	8	1	20
39	3	6	1	11
16	13	12	1	133
87	12	31	2	107
42	10	18	2	164
89	37	22	4	42
16	19	26	2	196
57	3	3	2	20
27	21	14	2	103
149	36	13	4	18
109	34	1	3	75
147	26	15	4	197
8	12	4	2	57
152	4	10	1	154
60	26	25	3	190
142	8	36	3	184
97	13	39	4	162
58	7	32	3	164
56	12	21	2	62
93	17	27	3	166
68	23	41	4	201
123	5	28	1	154
135	21	38	3	74
128	20	5	1	29
41	24	30	2	54
141	1	28	1	148
102	1	35	2	204
23	33	3	2	103
1	21	16	4	139
30	25	15	3	174
10	35	40	4	96
19	32	23	4	29
38	13	19	4	65
43	35	11	1	201
3	19	20	3	165
68	22	12	4	75
63	30	31	1	174
13	15	17	2	110
10	3	21	2	49
7	25	26	2	49
52	5	18	1	57
96	1	9	3	8
58	2	30	4	203
100	11	14	4	135
2	13	25	2	125
101	3	22	2	84
115	38	6	2	97
40	15	34	1	136
67	3	1	2	80
53	33	7	2	164
85	7	24	2	170
106	23	29	4	5
140	30	8	3	140
50	22	10	4	109
88	14	2	2	111
67	16	33	1	131
111	14	39	4	2
127	28	5	1	80
9	29	27	1	155
127	10	41	2	166
47	30	32	2	195
76	28	36	4	164
54	23	4	3	107
47	32	37	3	135
76	16	20	3	47
98	16	2	1	13
139	37	13	2	181
147	25	38	4	92
122	24	34	2	75
66	35	24	3	80
110	31	29	3	125
112	35	13	4	62
8	30	10	3	56
95	30	17	3	161
135	35	39	3	13
33	28	15	4	179
78	35	22	2	2
109	31	26	4	162
146	32	32	3	120
113	13	3	4	39
121	21	12	4	6
25	35	25	2	48
128	33	30	2	167
106	6	31	3	27
37	8	1	3	131
37	13	38	4	197
20	21	28	2	42
102	9	14	4	199
35	10	37	4	8
100	9	23	3	106
4	29	4	2	6
118	8	18	4	12
42	9	9	2	18
74	31	5	3	100
81	28	16	3	9
76	15	41	1	17
85	17	33	4	197
78	14	8	3	23
98	27	40	4	21
30	13	35	4	23
121	28	6	1	185
15	19	7	1	203
133	33	11	3	97
43	10	36	3	202
20	29	19	3	1
12	5	21	2	73
39	20	1	2	160
71	10	2	4	50
87	4	27	4	119
47	31	10	2	148
66	12	17	3	124
22	21	15	3	4
64	21	31	4	136
85	26	13	2	95
111	24	21	3	172
129	20	32	2	159
56	6	41	3	134
20	9	25	2	144
134	11	36	3	171
11	15	5	2	50
128	10	28	4	195
126	10	3	3	188
62	32	9	4	97
106	8	22	1	195
73	28	38	3	102
60	14	18	2	198
86	32	33	4	191
70	21	40	4	48
19	11	8	4	116
77	30	19	2	118
34	21	7	3	80
108	26	4	1	32
120	26	39	1	8
80	33	27	1	80
82	22	34	2	24
26	24	20	3	98
40	19	16	4	145
24	29	11	2	40
128	28	26	1	186
24	31	12	2	120
151	14	23	2	116
119	37	6	2	51
116	28	35	3	200
136	36	30	4	24
98	6	37	4	97
95	32	14	1	36
118	3	29	2	7
13	12	24	4	90
38	26	9	1	107
63	16	24	3	64
133	5	20	4	204
9	33	37	4	150
96	36	29	1	132
63	7	23	1	182
11	37	40	3	34
138	1	6	1	133
25	8	26	2	161
84	1	15	4	142
81	7	8	2	112
106	30	14	3	9
39	11	25	4	148
44	15	1	2	96
118	26	11	1	124
11	34	32	1	25
111	22	28	2	197
115	3	5	4	147
3	17	36	4	37
75	9	33	3	39
41	13	18	4	3
87	34	39	2	186
8	34	38	3	5
79	21	10	3	15
26	21	22	1	193
127	9	3	1	140
109	4	16	3	5
131	20	4	3	91
64	38	30	2	88
101	25	13	3	134
109	11	12	4	165
42	13	7	1	93
81	30	27	3	18
105	21	35	3	162
55	4	2	4	205
138	33	41	3	185
74	37	19	4	24
26	1	21	1	69
4	7	17	3	107
70	25	34	4	70
69	18	40	3	197
71	36	23	2	140
102	16	5	2	127
92	24	31	4	13
60	7	34	4	128
101	32	31	4	33
8	10	30	4	1
48	9	16	1	204
97	1	12	4	155
80	13	24	4	42
65	7	11	2	9
147	6	25	3	12
61	12	19	2	144
34	13	27	4	175
133	12	37	4	79
94	33	9	4	116
93	28	28	3	118
1	29	41	2	148
33	17	14	4	34
75	33	6	3	202
53	32	22	2	165
71	27	35	1	61
88	38	21	4	103
22	18	39	4	5
102	7	4	2	177
120	22	17	4	188
12	17	2	2	173
53	34	18	1	107
87	5	1	4	56
37	27	8	4	110
112	14	26	3	79
34	34	29	2	174
151	23	33	4	52
127	18	20	3	9
4	27	32	2	104
61	29	15	2	100
13	31	36	2	41
13	36	7	4	120
42	26	3	3	157
29	35	10	4	8
77	2	38	2	162
105	30	13	3	58
121	24	8	1	147
138	23	15	4	130
4	8	28	4	17
121	10	4	4	158
113	7	9	3	195
78	19	3	3	14
12	37	26	2	28
2	29	35	3	195
55	2	33	3	166
20	18	22	1	12
31	26	30	3	153
93	20	20	3	70
132	7	7	3	64
119	6	38	2	52
67	19	2	4	70
151	9	5	2	168
14	31	41	3	69
114	32	1	4	53
18	16	10	3	23
123	27	23	2	194
118	15	37	4	41
10	18	34	3	193
134	7	27	1	161
39	35	12	3	149
110	11	13	4	197
71	21	11	4	54
105	25	32	2	191
15	10	25	3	3
6	18	36	3	198
118	2	39	3	201
125	2	24	2	70
20	16	40	4	110
31	31	16	4	60
51	33	17	3	13
12	13	29	4	114
92	16	21	3	197
82	8	31	2	203
85	14	6	4	138
116	26	18	3	115
22	4	19	3	82
74	20	14	4	163
55	31	3	3	95
27	24	32	3	66
9	7	5	1	120
109	5	24	3	59
25	10	12	4	128
115	17	1	3	50
56	38	28	4	1
26	5	27	2	150
54	12	18	1	24
129	5	38	2	115
127	5	33	4	203
36	23	8	1	119
128	13	31	3	141
113	38	7	2	35
69	21	20	3	19
113	1	23	3	122
40	27	4	3	72
34	33	39	4	144
77	26	35	4	203
47	5	15	4	6
102	38	29	3	9
70	10	17	2	155
2	4	6	3	146
39	25	9	2	2
19	38	10	3	6
54	32	30	1	81
33	26	41	1	5
52	8	40	2	202
36	18	25	4	4
43	13	16	2	52
72	12	34	3	30
27	29	13	1	140
138	14	19	1	104
83	36	11	3	32
41	31	2	1	184
52	28	37	3	3
88	22	36	4	8
90	4	22	3	99
54	4	14	2	140
13	1	26	4	157
4	17	21	2	132
63	21	34	1	13
43	19	12	2	59
116	32	41	4	133
93	38	2	1	4
36	22	32	3	84
47	14	28	3	151
102	27	30	3	17
28	19	4	3	23
18	31	27	3	106
38	12	6	3	60
107	38	23	3	161
83	34	7	1	175
60	19	39	4	102
147	19	13	4	9
47	29	31	2	138
10	17	38	1	142
11	30	9	4	63
94	13	20	3	31
83	19	25	4	15
48	32	8	3	168
130	2	36	4	116
99	29	26	3	126
90	8	3	1	138
60	30	40	3	65
44	29	24	1	152
109	35	19	2	12
117	1	11	4	181
29	26	22	1	14
63	36	37	2	55
6	12	1	4	178
12	9	18	2	60
139	3	17	4	43
126	25	16	2	199
81	15	29	4	105
56	8	14	1	51
92	23	10	3	71
5	21	21	3	58
140	9	15	3	127
85	11	35	2	5
95	37	33	2	29
145	33	5	3	67
16	18	6	3	26
115	37	18	2	201
88	25	20	4	162
11	5	19	1	120
32	12	27	3	15
61	35	37	2	102
96	8	34	2	140
93	27	12	3	179
53	4	36	2	24
136	10	8	2	131
3	33	2	2	72
116	14	31	3	50
92	1	1	1	174
85	13	30	1	73
58	20	7	3	135
67	10	23	2	165
23	32	11	4	90
20	38	32	4	46
15	9	39	1	202
74	4	4	1	155
25	30	29	2	15
27	7	41	1	119
134	32	25	2	107
93	32	24	3	197
152	11	26	2	42
89	9	17	2	56
31	9	28	3	91
85	30	3	4	115
105	37	5	3	94
61	34	13	1	160
151	17	16	4	4
130	14	14	1	174
6	23	22	1	4
142	9	40	4	187
69	22	38	4	140
30	32	10	4	155
11	19	21	3	173
55	21	9	4	49
57	31	33	2	175
145	3	15	4	184
138	20	22	4	16
66	22	35	2	130
51	12	26	4	135
46	33	15	4	2
99	25	12	1	198
147	30	5	1	5
124	34	27	1	84
114	27	21	1	157
106	14	24	2	134
46	14	16	1	146
22	31	40	3	32
102	2	20	4	84
8	19	31	4	125
125	31	25	1	93
134	16	18	1	87
90	1	7	1	109
139	6	1	1	135
108	18	19	4	188
134	31	28	2	147
27	27	39	2	67
147	24	36	2	180
42	17	23	4	49
89	1	4	2	137
71	28	17	3	15
63	1	41	3	139
98	4	32	3	175
133	23	9	3	162
30	12	8	1	115
49	20	38	4	180
76	11	37	2	190
118	28	34	1	204
29	24	29	2	101
38	17	10	1	185
48	4	11	4	183
32	3	13	3	173
10	22	33	1	46
40	6	30	3	160
77	8	2	2	29
152	15	3	3	89
110	25	6	3	184
99	36	14	3	173
53	2	16	3	115
131	31	35	3	202
137	30	23	4	25
133	9	29	1	22
1	7	30	1	151
143	21	3	1	169
77	32	28	4	164
32	29	17	2	192
69	23	21	1	42
82	23	12	1	7
62	30	37	4	106
126	21	32	4	115
35	7	14	2	102
22	10	10	1	160
123	14	36	2	120
64	1	38	3	80
8	24	13	3	201
22	3	9	2	119
7	7	18	4	131
109	2	6	1	80
91	32	40	3	25
25	15	11	2	22
21	26	7	4	186
94	21	1	4	64
42	5	39	2	17
87	21	33	4	25
142	38	22	1	23
98	9	31	1	7
135	25	8	2	91
114	11	4	4	205
132	23	24	4	113
91	30	26	1	201
52	26	34	1	138
44	12	35	4	190
147	13	41	3	206
80	35	2	2	162
149	22	5	1	39
112	22	15	4	1
75	14	25	1	7
89	32	19	4	176
143	3	27	3	99
132	31	20	3	166
110	24	5	1	65
108	8	20	2	155
86	27	31	1	23
112	28	3	2	116
81	36	4	4	44
84	12	16	1	3
91	17	13	3	154
124	11	24	1	27
46	24	10	4	90
124	37	23	1	9
100	2	8	3	54
96	22	14	4	194
66	3	2	3	94
2	8	39	4	40
73	12	7	4	65
26	36	38	4	116
63	22	22	1	17
27	8	12	4	148
131	27	41	2	83
126	30	34	4	202
140	35	30	1	105
43	8	25	2	122
80	12	15	3	50
110	22	27	2	62
19	24	1	3	134
151	8	11	3	159
94	26	26	4	199
14	8	17	3	14
7	36	40	3	41
102	15	18	1	118
49	17	6	3	42
30	29	33	3	5
140	31	37	1	116
31	27	19	2	155
55	10	32	4	121
117	29	9	3	186
39	14	29	1	17
102	33	36	2	73
49	6	28	4	4
106	9	35	4	132
34	20	15	1	108
14	25	21	3	77
139	18	24	3	18
39	9	11	3	131
99	2	5	1	48
131	23	27	1	172
28	29	32	3	39
86	8	8	1	145
147	22	7	4	116
45	20	28	2	32
55	14	38	2	72
140	5	22	2	180
117	18	26	2	119
51	13	6	3	100
107	23	39	3	60
76	6	16	3	13
130	8	35	4	7
113	37	21	2	138
80	18	12	3	125
122	17	20	3	25
25	9	19	3	58
20	12	10	3	81
72	21	41	2	97
34	9	37	2	30
7	6	13	1	132
3	14	34	3	180
110	28	14	2	8
21	3	33	1	77
15	26	1	4	118
10	15	23	2	201
27	26	2	1	20
62	35	3	3	109
91	24	4	3	146
118	5	30	1	90
31	33	29	4	166
3	35	18	4	114
59	23	25	4	19
107	13	36	3	5
145	13	17	2	8
78	17	31	2	169
89	5	9	3	192
130	13	40	1	142
3	25	17	2	150
151	32	6	4	7
152	14	22	2	37
48	1	29	3	189
5	36	35	4	9
56	20	39	4	69
109	18	38	1	195
80	29	21	1	200
80	14	1	1	94
23	26	19	2	4
108	11	10	4	118
82	15	30	1	3
64	9	2	2	1
48	34	28	4	11
56	17	12	4	132
76	22	18	4	123
130	3	37	2	175
142	24	27	2	12
103	13	33	4	1
48	22	24	4	52
25	5	3	3	25
50	19	15	4	168
90	26	33	1	202
122	21	13	1	23
108	24	9	3	163
19	19	11	2	81
58	16	8	3	94
133	17	32	2	145
56	37	20	1	4
37	25	41	2	144
45	35	23	1	173
76	2	26	2	76
132	15	31	2	157
97	19	14	4	17
36	36	36	2	40
143	20	34	4	119
57	11	7	2	1
2	18	5	3	144
92	3	25	1	127
135	13	4	1	191
6	29	40	1	180
20	23	16	2	65
