Width	Diameter	Pcd	Et	Dia	Manufacturer
20	6	6	11	5	69
4	4	3	3	33	11
26	8	33	90	48	55
19	13	18	70	31	10
18	19	13	23	68	12
6	9	17	43	12	4
13	3	4	62	55	22
7	5	38	86	17	26
12	14	21	31	54	74
21	17	39	77	42	50
27	18	43	103	31	61
12	7	12	91	10	36
4	1	29	103	83	29
26	4	24	101	39	30
18	16	9	8	39	58
17	15	1	43	58	62
3	12	32	52	49	73
26	10	10	53	63	18
27	19	23	80	15	5
28	14	8	4	86	62
24	8	2	10	1	65
23	18	26	46	78	52
21	2	36	76	38	45
16	13	37	45	15	38
19	11	41	10	30	78
14	3	40	49	82	74
3	9	15	5	97	76
25	1	28	87	86	55
21	6	11	49	15	57
9	16	16	20	79	5
16	17	7	39	61	47
10	5	14	82	83	51
25	6	30	77	95	72
1	8	19	7	21	25
22	3	35	2	67	28
12	2	27	49	83	67
4	13	34	10	17	17
4	19	20	112	4	49
3	17	25	18	62	61
24	14	42	110	82	3
28	11	22	68	89	18
8	16	5	89	78	39
1	1	31	71	84	73
28	5	39	49	81	11
25	15	24	93	37	10
19	9	32	91	104	24
17	10	26	78	76	48
6	18	13	26	57	43
22	4	21	93	78	75
5	15	3	65	8	35
11	12	1	95	103	69
16	8	42	41	25	37
17	7	9	21	73	9
1	18	7	93	9	53
6	11	35	100	13	46
8	6	41	101	43	20
4	7	23	28	79	54
26	3	17	11	11	1
10	9	37	101	64	36
6	19	19	45	87	32
9	2	8	86	18	66
15	14	16	8	28	33
27	10	40	88	19	16
1	12	5	74	36	26
27	1	4	91	7	6
14	16	15	42	83	68
21	4	25	82	10	77
2	13	30	111	35	42
26	5	22	47	51	70
15	11	38	87	39	31
15	17	27	19	91	40
11	4	29	76	99	4
9	12	34	91	2	8
20	8	20	26	86	14
7	19	10	17	34	19
8	18	33	96	69	12
7	3	43	14	95	30
2	1	6	78	75	58
2	15	12	59	83	71
20	10	2	25	28	60
13	14	31	92	44	59
12	6	18	92	61	50
6	13	11	7	67	64
9	17	4	41	1	23
25	7	36	20	25	27
27	5	28	100	6	22
16	2	14	106	12	2
27	9	27	47	26	44
15	9	13	99	76	13
12	16	26	47	88	21
14	13	23	56	28	7
2	7	41	33	33	15
22	5	43	56	12	34
17	11	15	106	34	29
3	8	9	84	37	56
11	3	32	15	53	41
6	2	1	16	94	63
28	16	11	37	41	74
8	17	2	23	89	5
7	12	30	71	21	3
18	14	38	41	76	35
26	15	36	42	53	36
4	18	25	68	16	63
2	6	10	58	18	77
3	4	19	67	28	28
7	18	31	72	64	68
14	10	14	104	18	19
7	1	22	95	10	64
15	13	21	59	11	56
25	19	18	48	42	20
1	6	17	26	102	31
8	7	6	30	4	8
7	8	40	54	14	38
18	2	16	43	10	30
26	1	8	18	25	54
22	9	33	82	81	65
1	4	42	84	55	49
5	17	35	83	23	7
9	10	39	105	64	76
8	3	7	87	47	70
26	12	28	33	13	25
27	15	37	61	103	23
23	5	3	27	19	72
20	16	29	112	45	47
28	4	20	86	30	60
27	14	24	84	2	39
18	5	34	68	30	69
5	19	12	52	72	66
10	15	5	83	95	78
14	14	36	113	45	37
7	11	14	7	97	16
21	18	9	31	43	21
22	10	31	59	31	17
13	12	18	100	62	12
4	2	28	56	19	15
10	6	21	15	6	48
13	1	27	12	17	34
22	16	17	94	48	71
24	11	13	103	12	57
9	19	37	75	102	62
7	9	26	29	8	61
22	8	23	47	50	32
14	7	29	35	64	10
25	13	43	9	49	18
22	6	7	111	74	43
15	15	20	15	7	29
23	19	33	107	82	9
27	17	15	10	33	1
10	3	8	103	42	24
15	8	35	42	31	4
27	3	41	55	51	33
7	4	32	46	86	59
18	11	30	97	42	22
8	2	42	107	31	46
11	16	38	46	28	6
5	1	1	93	2	45
12	5	6	18	101	41
13	18	3	59	59	26
19	17	24	105	6	67
12	9	25	56	82	55
19	10	5	42	38	58
9	14	22	77	17	52
10	7	19	12	51	53
11	17	16	98	12	14
8	13	10	62	92	40
3	1	34	22	33	50
17	3	2	9	10	11
20	12	39	3	85	42
24	18	11	74	7	73
22	11	12	4	54	27
26	7	40	104	37	44
11	15	4	4	88	2
22	19	15	28	21	13
8	14	1	42	104	75
21	8	30	104	60	51
20	17	28	111	79	12
18	12	17	98	99	55
19	16	37	98	9	73
20	4	14	42	90	31
11	2	35	87	11	33
27	11	8	11	46	38
17	9	39	18	98	30
19	6	42	22	56	4
20	1	40	68	105	10
15	10	6	16	79	23
10	14	27	1	12	15
23	9	31	65	73	70
9	13	2	89	8	77
25	5	32	35	97	67
27	8	21	14	97	36
25	2	13	85	15	8
14	9	18	10	56	42
4	5	26	93	61	3
26	11	34	26	32	39
22	18	4	8	49	45
24	19	25	62	17	18
10	12	11	31	25	71
3	10	36	46	44	53
23	6	12	112	51	78
12	1	24	81	40	63
1	16	33	113	10	27
2	12	38	26	64	74
5	4	5	9	31	62
20	15	43	57	22	59
14	5	20	97	31	21
13	4	23	74	4	43
18	7	10	69	93	75
23	13	22	50	97	28
15	6	19	21	82	65
23	8	29	51	8	60
18	15	41	89	3	61
23	7	16	39	42	13
3	13	14	2	69	9
16	14	9	111	11	64
5	10	7	10	59	69
17	19	6	86	59	2
28	3	3	32	99	58
24	3	15	36	15	46
8	10	27	5	37	11
19	2	22	13	13	40
7	6	39	84	105	54
13	17	11	103	5	16
7	13	13	40	84	22
11	18	23	67	97	48
17	14	43	46	18	25
24	16	35	72	97	34
23	11	21	23	44	17
16	12	10	102	83	20
9	3	12	51	31	56
21	9	40	59	40	66
5	7	28	90	87	52
9	8	25	98	73	44
13	19	8	63	75	72
26	16	32	78	69	29
11	1	37	11	42	57
3	15	30	41	9	47
15	2	24	31	29	68
28	12	19	11	3	5
10	18	42	40	29	1
16	16	4	55	24	26
15	4	17	34	43	76
15	3	33	108	18	50
7	17	5	94	45	6
4	15	18	98	6	24
28	2	29	22	40	41
24	13	9	99	58	37
9	4	36	73	82	19
24	6	1	60	67	32
6	1	20	84	49	7
11	19	31	68	50	51
24	6	26	8	68	14
20	5	41	65	46	49
28	18	34	90	83	35
14	11	2	6	95	49
3	19	16	77	46	35
25	9	10	92	47	78
28	10	38	51	22	21
18	13	3	85	82	54
4	14	7	11	8	30
2	19	36	56	54	14
28	8	7	23	56	3
17	5	13	59	42	51
5	5	37	95	70	77
6	6	27	67	33	41
8	9	30	22	5	18
16	15	39	80	23	4
24	12	31	57	40	27
24	7	5	18	41	7
3	18	28	113	24	42
24	1	16	86	34	61
11	14	26	35	25	17
10	2	40	97	44	25
4	8	12	95	78	48
3	16	6	102	42	65
15	7	14	81	50	58
20	7	18	4	36	55
5	17	22	56	100	13
10	3	25	110	97	47
11	10	15	38	39	38
13	4	9	51	34	67
2	17	43	74	19	60
21	3	23	91	19	23
14	4	8	59	41	9
23	2	11	101	50	29
2	1	42	108	12	68
12	3	20	71	80	62
14	17	19	37	34	75
12	19	38	57	36	64
21	15	35	22	74	63
19	15	34	17	67	57
25	4	41	45	29	74
5	6	33	33	9	16
12	11	32	105	28	53
2	5	4	40	87	10
10	16	3	86	54	31
8	12	24	66	58	2
5	9	21	16	49	11
26	13	29	8	19	43
14	18	1	11	1	24
13	5	2	26	25	20
20	10	17	48	17	32
14	7	27	36	59	70
24	10	24	107	25	12
16	6	36	10	87	39
9	11	7	65	19	71
26	8	11	19	64	66
22	17	42	85	9	56
26	14	5	22	22	8
27	4	12	40	12	40
7	15	23	69	85	44
28	3	18	1	37	52
3	7	8	43	104	45
25	18	19	91	77	22
18	8	31	107	51	50
5	11	40	53	104	5
2	16	2	105	58	19
12	1	39	5	4	37
19	1	21	107	39	59
14	10	4	68	47	34
13	7	25	77	102	76
9	18	30	63	66	46
18	17	29	92	78	15
13	9	14	58	28	1
11	9	9	55	17	73
16	8	43	52	33	33
24	11	28	96	36	69
13	9	34	20	90	6
21	19	41	100	18	36
6	10	22	60	61	26
20	9	35	53	6	72
5	2	38	96	81	28
2	7	33	106	52	51
8	12	20	44	34	30
26	9	16	100	50	26
18	18	6	52	65	60
4	12	15	19	60	58
2	10	3	23	104	13
20	8	13	91	99	2
17	13	17	42	22	67
3	11	37	58	23	24
22	14	32	10	19	40
23	16	10	90	2	69
12	17	1	51	81	22
3	4	26	49	5	55
23	4	7	20	48	45
17	13	36	100	31	47
2	12	35	18	56	16
27	6	2	46	4	66
1	10	41	24	86	37
27	5	5	69	84	53
13	8	30	55	83	8
14	1	11	52	19	14
8	13	4	64	18	32
8	4	38	68	44	68
11	4	34	72	76	36
3	18	29	106	18	59
4	6	22	108	84	34
22	13	16	15	85	76
4	12	14	79	24	7
23	2	25	4	6	54
16	1	26	113	21	75
19	16	31	48	29	9
16	2	3	63	36	48
26	16	23	25	49	63
15	13	28	11	9	74
23	9	42	1	30	12
11	5	20	85	18	31
15	15	10	10	42	28
25	4	37	14	90	71
10	4	6	13	28	44
1	19	1	105	3	6
18	13	39	30	53	62
6	13	32	83	29	39
28	17	9	38	60	65
14	4	33	7	66	20
21	10	12	108	58	4
8	12	13	77	72	38
28	5	17	106	88	27
13	13	24	65	26	46
22	11	18	101	55	35
4	7	27	88	97	19
9	10	21	8	94	70
28	14	15	30	49	72
21	13	19	110	70	1
22	18	40	81	33	29
6	16	8	14	84	33
24	9	7	66	69	49
28	11	27	83	85	23
19	1	43	2	93	41
17	4	36	107	27	3
8	12	36	112	17	43
6	5	30	54	16	57
4	17	10	96	68	21
9	16	20	53	47	15
16	1	35	19	101	42
8	11	25	46	65	10
15	16	1	84	64	17
28	5	12	67	26	25
14	7	30	31	33	56
24	12	14	53	53	64
25	19	5	72	68	61
9	8	6	108	32	78
15	7	31	111	60	5
18	18	24	94	96	77
1	15	9	75	2	52
22	11	19	112	14	11
13	14	28	32	95	18
24	19	40	98	35	50
18	11	26	36	17	51
27	7	2	58	55	73
23	3	38	47	94	40
25	16	21	57	71	24
26	9	4	13	2	3
22	9	3	113	18	7
12	10	29	90	72	77
17	19	22	79	2	44
12	19	42	106	13	48
17	5	8	73	28	14
13	7	37	44	38	17
3	1	13	94	22	27
26	14	41	37	58	10
21	13	15	1	4	55
5	15	11	14	73	25
17	19	32	81	17	46
15	10	43	109	45	63
6	3	39	74	100	68
6	12	33	17	43	29
25	1	17	3	6	53
20	8	34	99	53	11
25	5	15	8	2	56
23	18	18	95	81	18
10	12	23	109	41	76
13	12	16	97	19	66
15	19	2	35	52	16
2	14	20	76	63	54
8	5	35	16	93	47
14	13	7	28	101	31
19	2	10	79	79	50
3	2	18	88	57	60
3	19	27	32	31	30
1	13	40	5	24	2
5	11	36	32	51	1
5	3	14	37	27	78
1	19	28	36	25	67
26	2	31	95	97	58
19	19	12	15	86	43
17	2	25	17	85	39
3	2	11	71	53	4
27	9	38	67	80	19
23	17	32	67	32	38
26	14	39	50	83	32
8	14	29	56	73	21
11	17	13	14	59	37
22	19	26	19	90	8
11	2	5	70	64	52
27	7	34	19	77	62
24	8	37	6	11	22
15	5	23	94	20	59
10	18	17	18	34	13
21	1	33	102	76	33
6	3	24	6	104	65
25	9	9	26	70	69
4	17	8	54	74	74
11	4	22	57	58	42
3	19	3	73	91	34
23	1	19	41	26	49
20	4	1	18	24	15
19	9	6	95	8	28
24	17	41	22	98	26
20	4	4	54	62	70
23	4	43	26	71	5
5	5	42	6	10	61
7	18	36	38	93	23
24	2	30	34	24	35
1	11	16	49	63	36
7	18	7	35	13	75
6	3	21	111	69	45
20	8	15	83	103	20
23	6	9	34	85	71
26	8	14	35	30	6
16	13	20	68	41	57
9	2	10	30	61	73
5	6	25	74	96	9
11	14	12	105	1	12
19	15	26	58	32	64
11	1	2	61	36	72
8	10	11	67	88	51
4	16	17	87	91	41
11	8	18	5	49	62
19	14	35	43	33	65
9	5	27	23	95	9
7	17	41	59	15	29
10	1	30	56	59	30
9	7	31	49	30	20
27	8	17	25	5	15
28	7	21	26	7	10
4	5	24	52	76	5
25	3	42	70	60	73
26	16	43	88	74	72
9	9	33	70	99	75
5	6	16	51	30	19
1	2	23	40	11	69
27	7	6	41	95	46
18	8	36	81	12	21
6	12	34	108	98	1
20	6	5	6	19	3
19	18	14	101	94	39
12	10	13	82	14	25
6	6	29	27	95	38
5	4	39	35	84	24
18	6	40	63	79	67
27	7	32	95	75	26
16	13	8	3	72	34
1	18	38	92	85	56
15	12	37	96	54	54
2	2	7	109	4	18
3	14	10	78	72	49
24	2	19	52	8	13
24	8	22	111	90	17
6	11	3	72	58	70
23	18	4	69	54	41
7	9	1	36	61	58
28	15	28	41	45	66
18	13	25	57	57	11
28	17	26	87	69	44
26	6	35	24	24	61
15	9	5	79	94	71
12	10	34	61	91	43
16	15	6	97	26	14
23	15	27	94	18	76
17	14	4	82	77	50
8	9	9	15	71	63
17	6	31	28	94	12
26	18	12	99	60	64
18	19	18	18	7	37
12	12	2	78	48	52
7	19	33	4	32	28
5	6	20	113	12	23
15	3	11	77	33	48
12	16	41	104	105	40
28	15	40	8	10	31
1	9	15	12	23	16
18	11	14	84	45	8
23	8	1	92	84	77
4	10	32	14	50	55
3	10	42	75	74	6
26	5	18	60	44	74
2	5	21	19	8	4
9	1	38	17	50	60
6	18	2	20	37	2
6	7	7	13	66	42
13	15	29	25	31	78
24	1	10	35	70	47
8	7	23	110	27	35
21	6	22	18	66	59
18	18	15	39	41	36
19	6	30	3	17	45
21	15	13	66	81	68
9	12	3	2	27	32
1	2	8	41	17	57
11	5	19	48	66	7
9	18	43	33	28	51
19	2	9	108	20	22
8	17	37	40	82	27
6	2	16	99	103	53
8	18	39	36	101	33
3	2	33	100	34	10
17	16	28	65	82	78
26	16	25	81	76	53
2	8	24	54	68	40
16	17	17	75	76	25
12	14	14	16	31	38
6	10	36	41	34	9
15	6	4	88	93	42
15	17	30	113	102	11
21	18	20	56	6	58
19	11	11	100	76	62
23	2	23	66	33	19
23	1	5	31	16	43
14	16	6	3	25	18
27	3	31	93	89	14
28	7	43	25	75	2
1	10	10	100	41	45
10	11	36	98	56	33
7	16	37	22	26	70
19	3	15	35	26	15
14	3	35	79	12	29
13	7	26	17	74	30
25	3	16	52	5	64
21	1	27	4	90	74
9	7	19	42	42	16
25	1	34	53	28	4
8	3	22	86	96	76
20	2	12	43	95	23
2	8	8	85	105	35
22	10	9	98	3	41
23	12	41	14	101	63
4	17	36	109	30	68
22	3	38	18	75	57
21	19	29	101	79	52
4	8	35	73	89	75
6	6	3	68	17	8
2	11	17	12	31	66
19	8	27	31	10	37
28	8	10	2	58	71
20	15	31	90	52	24
21	3	34	16	54	49
11	12	21	47	100	67
26	14	1	87	78	13
4	15	42	23	69	27
2	12	23	82	30	34
9	2	40	92	97	72
10	1	15	6	102	12
10	18	7	100	15	6
14	7	13	64	17	60
15	18	32	85	84	44
16	14	19	49	74	46
27	14	39	39	60	7
21	1	28	13	98	65
20	14	37	102	61	5
16	14	18	107	13	61
28	13	6	29	6	26
8	17	33	20	41	59
7	16	35	13	50	77
9	16	24	82	56	22
4	13	2	31	96	36
18	10	19	54	83	31
28	12	41	46	95	28
2	16	26	7	80	50
28	14	14	27	67	55
18	4	1	70	54	21
8	4	12	90	40	54
8	11	3	52	22	56
11	9	43	108	14	39
28	5	25	107	47	1
19	9	23	8	87	17
5	3	9	100	63	3
4	15	16	102	13	32
22	14	28	5	43	48
2	10	40	45	13	73
21	19	24	61	34	69
11	18	33	54	95	47
15	15	8	5	56	20
4	4	11	62	42	37
4	18	5	65	58	28
26	1	7	57	81	78
27	3	10	43	14	51
5	16	30	26	55	21
16	19	22	84	92	10
25	15	38	110	93	66
5	19	4	25	6	74
26	11	42	102	66	24
24	8	39	43	63	53
7	14	20	81	16	47
22	16	22	23	57	16
10	11	2	79	105	59
8	9	21	81	32	31
7	4	2	112	46	34
2	3	27	65	49	61
10	11	1	5	50	4
7	19	17	65	90	45
24	4	18	113	16	1
20	14	25	20	3	73
7	4	15	57	19	8
22	15	29	40	16	19
27	8	11	59	72	69
15	11	40	73	71	15
17	3	14	89	101	60
24	2	6	4	1	70
27	16	3	60	30	2
14	3	37	81	6	35
16	6	34	46	42	27
9	13	13	79	33	3
10	6	35	41	99	18
10	12	41	94	47	72
24	12	12	17	18	6
27	11	36	62	102	64
5	8	31	11	7	54
14	7	26	62	49	33
24	10	3	44	62	67
28	12	33	110	4	22
1	6	32	66	76	7
4	5	38	42	59	42
11	9	14	102	78	68
19	11	20	104	28	25
6	10	43	80	53	52
14	15	28	1	21	77
10	3	28	50	30	63
17	14	33	99	29	17
14	1	32	24	99	48
24	5	21	77	74	62
17	17	30	11	67	49
18	9	7	61	46	20
11	15	36	101	91	75
23	19	13	12	49	39
13	13	1	27	77	14
6	5	4	71	41	12
8	9	18	93	33	57
16	10	23	58	73	13
16	15	41	81	28	9
16	16	16	21	31	11
24	11	35	63	2	30
22	13	8	26	38	50
5	8	10	80	76	58
7	15	9	92	57	5
5	11	31	91	33	71
1	9	22	110	31	32
14	13	42	77	39	23
25	13	35	102	94	44
10	12	26	23	86	26
16	7	11	56	98	40
22	19	39	16	68	55
28	16	5	73	87	38
16	12	40	22	89	36
13	11	19	10	27	41
24	10	36	92	49	65
14	1	24	90	14	76
20	4	27	60	98	29
17	17	38	76	3	43
17	9	29	88	86	56
11	5	17	90	69	46
16	14	5	51	93	24
17	5	6	74	53	21
7	16	24	2	22	66
13	15	35	112	70	37
12	16	30	85	19	28
14	10	34	71	60	71
17	15	20	87	48	65
6	4	42	61	64	51
18	15	8	60	82	53
11	11	10	34	95	13
2	12	25	24	61	17
12	4	40	43	9	78
21	2	21	7	41	26
10	17	43	3	10	10
12	19	16	95	89	70
25	11	31	15	18	34
9	11	41	95	73	42
18	8	37	93	100	63
26	9	28	83	92	14
12	5	19	109	22	2
15	18	9	78	30	32
19	19	29	21	85	54
27	11	18	109	90	77
6	19	12	24	80	76
25	1	4	97	51	31
13	7	6	57	76	68
4	3	39	58	22	69
11	10	22	36	30	27
20	9	3	7	76	22
22	10	14	69	105	5
8	13	2	82	7	61
13	19	7	102	41	40
8	2	15	9	68	6
11	11	32	75	10	3
18	16	2	100	16	44
5	2	13	42	69	30
18	15	22	74	47	48
18	7	32	108	72	18
5	1	32	1	47	36
3	1	23	10	95	62
27	9	20	35	93	59
7	1	6	60	9	20
14	3	17	112	29	8
8	14	43	98	100	16
25	4	7	78	23	46
25	17	33	112	13	60
2	3	42	101	45	72
15	13	15	97	87	35
20	5	16	2	33	4
28	17	37	55	105	64
10	9	34	77	103	74
18	9	25	42	4	41
10	6	2	52	60	29
21	5	30	17	52	75
3	5	4	44	105	33
3	2	41	92	77	12
17	12	40	34	38	57
18	10	9	91	26	7
2	16	14	48	72	67
14	13	31	96	80	15
9	14	29	97	5	45
25	19	3	71	105	23
25	8	11	88	61	43
22	6	13	106	27	52
3	2	5	93	80	11
10	12	24	76	74	21
11	13	30	84	12	25
2	3	9	20	24	55
26	14	26	59	87	19
13	10	42	48	81	50
12	8	38	13	102	49
8	11	19	13	84	9
18	6	35	7	59	73
2	14	39	38	55	56
22	19	1	30	70	38
20	2	38	5	2	1
14	13	12	87	16	58
7	3	21	90	81	39
15	8	18	89	34	47
7	2	25	48	48	24
11	4	27	69	73	66
26	13	19	80	45	78
8	18	8	79	19	4
28	6	2	95	54	37
1	4	37	29	95	53
12	16	36	110	73	17
18	6	27	56	63	28
6	14	40	18	59	71
16	6	28	54	1	30
5	15	18	82	17	39
25	6	29	17	26	13
21	9	32	40	68	60
2	4	31	110	74	26
27	4	19	65	104	10
9	7	42	93	83	65
1	17	6	28	92	51
1	14	30	109	34	44
22	2	11	58	92	47
7	16	3	107	37	25
17	18	21	97	14	15
1	10	35	4	30	35
10	19	10	22	11	9
25	7	8	109	20	12
6	17	26	9	56	77
12	12	28	35	42	61
21	15	5	68	46	19
19	14	16	26	99	6
3	5	24	36	98	52
22	13	25	19	88	49
12	12	43	113	78	62
7	6	34	96	31	55
28	10	4	93	68	54
10	13	20	16	21	27
28	16	1	35	53	8
8	2	34	92	105	34
10	4	13	31	26	69
26	17	38	8	31	2
12	12	7	3	68	56
3	1	39	98	52	46
13	6	33	89	11	11
15	3	22	7	16	7
13	8	23	105	18	64
1	7	39	47	13	43
7	2	12	19	35	21
2	18	17	41	70	70
3	11	23	33	3	75
17	7	23	51	9	72
17	3	35	68	26	38
5	7	2	71	34	14
21	4	8	94	63	22
20	5	11	12	54	58
27	14	9	52	92	42
27	13	16	34	83	45
12	14	17	62	66	23
20	19	23	113	14	57
21	7	15	52	61	32
26	13	15	69	42	33
1	3	13	13	58	5
25	12	1	62	45	41
26	16	3	34	4	59
18	8	43	112	6	68
24	1	33	55	45	40
13	19	15	64	16	73
4	8	4	27	43	67
6	5	41	11	83	16
9	9	9	25	51	29
27	12	30	90	68	31
7	8	27	82	52	18
18	18	6	44	19	76
1	7	14	80	19	50
13	7	17	14	32	3
24	3	20	54	71	20
3	11	12	31	6	63
9	18	35	26	92	36
23	17	36	16	20	48
15	10	34	11	68	66
13	13	38	49	51	71
9	10	5	106	96	1
20	18	42	13	47	74
7	9	29	19	2	53
3	12	21	54	17	78
27	3	6	33	74	17
6	13	28	52	14	24
2	10	6	81	46	39
12	8	9	65	29	30
17	16	19	93	95	26
20	12	24	56	51	19
13	2	10	23	67	60
6	3	31	102	72	10
25	15	39	32	79	51
20	16	32	50	12	37
5	7	25	102	99	67
25	9	22	51	19	9
14	2	22	78	87	62
12	16	26	96	95	4
27	11	37	111	10	28
12	3	32	8	92	13
1	4	26	97	96	65
26	15	2	113	41	15
22	14	37	91	56	44
6	5	37	78	96	50
17	6	25	70	45	36
21	5	6	42	89	6
9	3	32	56	7	69
7	17	18	42	21	73
24	7	28	82	31	45
2	2	37	47	73	12
17	11	11	20	69	54
16	2	25	27	104	31
1	16	28	62	99	76
13	8	12	78	65	42
28	10	43	102	98	46
23	4	9	10	13	34
2	8	29	9	67	1
18	11	43	67	5	32
1	17	39	95	18	63
10	11	33	85	80	52
8	14	26	108	85	58
3	14	24	112	41	64
17	8	4	112	19	61
3	3	22	28	43	25
26	10	39	61	5	40
19	9	21	56	34	38
11	5	20	92	98	8
25	8	7	68	38	5
18	10	25	31	52	29
15	6	10	32	38	2
26	3	4	98	84	21
9	11	38	61	67	11
13	17	6	84	73	55
16	2	32	69	100	56
19	13	38	94	43	16
3	13	40	76	56	41
16	1	13	83	82	70
23	16	2	8	86	3
23	6	20	52	37	74
13	12	41	16	6	77
22	17	7	32	84	72
14	18	28	102	5	43
13	4	4	56	57	35
17	18	5	16	105	20
22	14	10	95	9	59
7	16	16	67	7	7
20	2	31	82	65	48
11	9	25	94	89	23
21	10	31	30	32	47
