width	height	diameter	season	manufacturer
148	23	26	1	200
103	21	27	3	120
15	28	41	3	168
52	11	4	1	83
50	5	24	4	195
33	33	15	1	178
65	16	3	2	145
122	20	26	4	80
118	36	41	2	153
1	29	2	1	169
48	12	3	4	168
128	14	17	3	196
77	11	5	2	149
34	34	37	4	140
75	25	28	2	193
147	11	30	3	84
111	10	25	3	12
87	14	27	4	88
38	3	9	1	195
15	4	1	2	35
129	17	20	1	187
88	19	23	1	158
77	4	40	3	14
53	39	35	4	174
98	28	21	1	134
102	15	34	4	129
70	28	24	2	33
107	29	14	3	5
62	10	29	1	96
140	17	4	2	68
105	23	6	3	88
134	13	39	4	30
149	22	18	1	206
53	20	38	3	40
1	25	11	4	1
128	5	15	2	104
23	7	22	1	39
74	26	10	2	73
119	29	8	2	61
14	24	12	3	12
69	4	36	4	202
151	37	32	3	34
132	38	7	4	190
19	16	31	1	72
126	23	16	2	3
94	13	19	3	2
12	27	13	4	94
136	34	33	1	7
11	21	37	1	73
41	5	33	4	17
79	41	4	3	199
66	18	36	1	55
130	38	34	3	108
39	17	19	1	88
146	19	35	4	133
48	6	1	2	130
107	33	2	2	162
56	36	16	3	46
120	17	8	2	15
146	6	25	1	86
103	12	10	4	107
143	27	5	3	201
140	2	7	4	37
134	6	29	1	61
17	6	40	2	22
17	30	6	1	188
57	38	41	2	38
12	2	26	3	111
10	40	21	1	60
11	25	20	3	77
44	38	14	1	168
139	26	9	4	22
90	13	27	2	138
90	11	31	1	99
93	29	12	2	168
65	20	23	3	20
84	26	30	1	65
139	6	3	2	27
68	14	28	4	169
80	16	32	3	100
86	19	11	2	79
113	19	15	4	155
32	2	13	3	99
129	14	22	4	50
125	16	24	4	178
32	18	39	4	33
100	14	38	3	172
104	22	17	3	115
70	35	18	1	181
102	38	8	2	25
78	12	24	4	2
12	7	34	2	142
139	1	25	3	127
136	12	40	3	169
116	30	23	4	99
133	17	35	1	33
88	30	21	3	136
142	3	18	4	12
23	31	12	2	155
26	4	41	3	204
17	11	29	3	180
101	19	28	1	92
29	2	38	3	155
122	33	5	3	117
120	32	3	1	182
144	15	13	4	20
134	39	4	3	171
15	31	26	3	175
28	21	15	2	19
94	16	33	1	109
136	13	17	4	66
117	25	36	2	120
104	41	31	2	30
117	24	1	3	3
142	35	37	3	85
117	1	32	4	13
40	8	16	3	104
33	19	30	4	68
9	21	22	3	195
97	16	39	2	81
132	27	10	1	167
125	11	27	2	201
104	24	9	4	123
92	32	6	4	98
141	14	20	2	37
140	4	14	4	148
86	13	2	4	9
141	35	11	1	9
39	3	7	4	104
72	8	26	2	95
91	7	19	4	201
99	7	6	1	163
92	9	41	2	146
28	22	27	1	93
75	23	11	4	64
97	1	38	1	11
103	19	19	1	162
142	25	39	2	206
150	19	34	4	19
71	15	40	4	206
87	17	5	3	164
8	12	37	1	42
5	15	3	2	151
52	1	13	3	19
56	10	33	1	6
104	25	23	3	205
90	7	8	4	150
6	21	21	3	12
136	21	28	1	94
42	9	31	3	78
63	18	14	4	61
128	34	32	1	53
52	12	18	3	105
43	29	24	3	81
11	31	29	3	114
58	38	2	3	36
114	16	17	2	102
52	38	35	3	139
47	14	4	1	82
37	24	30	4	90
56	34	7	1	180
2	15	20	2	133
66	14	15	2	5
132	32	22	3	160
137	20	25	3	168
132	1	36	2	154
65	34	16	4	36
41	33	9	3	179
76	16	12	1	1
55	28	1	2	139
60	19	10	1	148
66	37	37	4	99
93	30	40	4	204
9	25	33	4	186
76	4	18	4	44
82	36	1	4	34
35	13	21	4	5
145	27	11	1	100
150	2	35	1	102
95	3	3	1	201
147	41	41	2	165
56	37	4	3	95
50	40	39	2	61
122	15	17	1	105
54	12	38	4	77
57	25	31	3	61
8	22	10	4	100
125	29	13	3	4
100	26	2	2	2
129	9	25	2	28
100	24	32	3	94
145	36	26	2	20
87	12	6	2	106
94	28	23	4	5
13	10	15	2	177
61	21	5	4	158
41	32	36	1	76
14	30	29	2	190
98	5	8	2	100
55	22	14	3	7
16	3	28	2	29
106	36	7	3	16
147	29	9	1	155
93	1	30	3	174
109	38	12	4	151
51	29	27	2	94
31	15	22	4	180
116	39	34	2	103
57	9	24	3	148
140	32	19	4	126
2	32	16	1	7
5	5	20	3	26
34	22	24	3	10
120	18	29	3	8
123	31	16	1	5
5	11	38	2	195
70	20	8	4	158
59	15	18	3	18
134	7	11	1	34
4	33	23	1	10
7	8	6	1	179
71	30	28	1	60
106	16	5	4	176
90	32	37	3	152
112	24	14	4	139
13	6	27	4	15
29	36	39	2	4
28	20	35	2	114
61	7	17	3	104
53	41	25	2	183
128	10	2	4	32
1	41	3	3	9
7	23	31	2	4
30	38	26	4	161
96	13	22	1	205
65	15	19	3	167
105	21	34	1	8
89	36	15	2	135
60	28	40	4	83
27	23	9	4	124
123	25	30	4	8
108	40	4	1	71
91	17	32	3	182
84	27	41	4	189
93	26	33	1	56
106	8	10	2	129
43	37	12	1	13
63	31	36	3	130
141	30	7	4	181
134	8	1	3	132
49	23	20	4	134
133	26	13	4	31
130	33	21	1	195
43	14	14	4	38
75	32	20	1	2
65	36	22	4	82
28	40	23	3	30
148	27	16	4	9
79	32	25	2	194
55	40	34	1	16
116	41	10	1	187
134	34	12	1	24
21	27	28	2	32
122	17	21	2	168
110	1	26	1	117
41	18	15	1	32
5	7	18	4	10
29	17	33	4	60
79	18	2	4	149
65	31	8	2	53
39	1	31	2	14
51	11	17	3	112
37	40	9	2	4
128	40	7	2	96
138	23	13	1	114
23	22	4	4	62
85	41	32	1	81
81	34	39	3	128
10	19	29	2	126
131	24	5	4	67
25	35	6	4	39
144	12	19	3	12
149	7	30	2	44
143	40	24	4	85
75	20	41	1	79
59	37	40	1	191
16	9	3	4	12
86	9	36	1	90
5	3	1	1	205
145	24	38	4	84
39	28	37	4	143
26	16	27	2	6
50	11	35	1	9
137	38	11	4	42
79	5	40	1	157
96	4	27	4	139
114	11	37	3	12
148	12	21	3	177
85	15	26	2	148
56	33	39	1	197
41	25	5	1	121
18	27	4	1	140
61	35	2	3	193
10	13	10	3	198
87	4	34	3	82
32	3	15	1	168
111	36	8	1	149
72	2	14	1	123
101	11	18	2	49
113	36	23	2	198
29	26	19	1	37
66	27	7	3	29
134	31	41	4	118
52	17	25	2	109
5	32	9	4	144
142	10	17	1	7
20	41	12	2	157
34	18	35	2	171
149	37	38	4	170
41	37	16	1	20
82	13	24	2	54
2	13	33	4	130
25	24	3	1	127
10	16	1	4	117
34	26	20	2	201
21	13	6	1	115
145	8	13	4	28
46	36	32	4	91
35	25	22	1	179
140	7	31	2	178
5	41	30	2	170
8	41	29	2	92
129	26	11	3	154
54	39	28	3	47
84	36	36	4	179
138	30	10	4	128
94	35	34	3	176
46	38	30	1	81
81	15	35	4	190
37	21	20	3	144
31	24	39	3	44
119	7	7	3	135
143	20	13	2	189
137	21	33	1	148
120	28	12	4	55
107	3	25	4	71
38	20	3	4	166
125	31	2	2	1
105	28	11	4	51
32	29	1	2	23
20	23	23	3	195
103	27	40	2	116
21	3	19	1	77
4	29	16	3	2
124	20	4	2	2
149	38	28	3	17
29	31	6	2	71
130	29	15	2	199
127	11	9	1	143
50	32	32	4	196
141	37	18	3	184
108	20	37	3	126
143	34	14	2	136
61	5	27	1	161
146	29	21	4	14
63	35	5	3	71
114	10	24	4	56
145	13	36	3	27
117	12	8	1	43
151	17	38	4	125
106	35	26	4	182
127	33	31	4	135
98	23	17	3	151
134	11	10	3	33
95	40	29	3	13
69	16	22	1	164
107	40	41	1	48
61	28	20	2	155
141	4	6	3	206
63	7	29	1	199
54	41	5	2	112
116	36	38	1	14
102	8	3	3	33
72	38	13	1	14
146	11	24	2	172
132	9	30	2	89
132	4	4	1	101
4	5	41	4	9
35	33	25	2	134
42	24	7	2	131
90	35	36	1	169
74	23	22	3	60
139	14	8	1	201
23	8	34	2	11
12	4	31	3	161
20	8	19	1	146
101	29	39	3	112
17	2	16	3	80
102	33	18	1	84
41	36	37	2	176
65	12	9	4	11
20	5	11	2	8
145	14	23	1	25
80	9	15	4	71
5	22	26	4	165
35	36	17	4	137
59	38	33	3	41
92	34	27	1	172
65	22	21	3	31
70	31	14	3	70
25	26	35	2	75
12	32	28	1	165
81	39	1	2	90
4	9	2	2	60
146	10	32	1	134
42	11	12	2	148
133	3	40	3	156
66	10	1	4	37
118	29	6	1	1
61	10	39	4	183
5	29	37	3	146
90	29	22	2	84
135	6	17	3	178
107	34	15	3	102
120	39	21	4	105
7	6	8	3	165
42	22	36	4	74
68	25	2	3	38
115	25	26	1	87
76	20	11	3	22
88	21	19	2	17
106	29	28	1	126
60	34	13	3	58
129	41	35	4	10
3	19	25	4	25
149	33	3	4	184
98	9	4	4	14
139	30	33	2	93
70	22	32	4	187
16	19	38	3	83
15	35	24	1	138
70	40	16	1	1
48	38	5	1	11
142	31	9	4	43
74	40	27	4	188
88	25	34	4	145
32	10	18	1	17
6	15	10	4	62
110	19	31	3	98
148	22	40	2	40
65	27	29	3	90
7	28	30	3	103
72	3	41	1	108
25	17	23	1	173
79	37	20	2	180
22	9	14	3	24
42	3	11	2	99
66	3	12	2	110
102	10	7	1	22
130	26	22	4	162
81	13	4	1	33
49	40	40	2	205
90	6	7	1	112
3	13	12	1	188
110	26	37	2	186
26	13	38	1	143
19	26	5	4	3
38	24	19	3	109
70	17	26	1	130
144	14	29	2	10
99	4	23	4	18
150	26	18	2	7
133	27	1	2	44
81	33	8	3	189
41	8	24	4	112
71	2	10	2	147
69	7	21	2	22
133	41	14	4	180
139	11	15	1	187
128	3	27	1	116
19	27	35	1	15
143	14	6	4	134
106	5	39	2	13
146	23	30	1	130
102	19	32	1	135
40	1	41	4	6
38	4	2	3	190
66	35	9	1	68
120	8	36	1	137
142	8	33	4	124
149	2	20	3	165
142	32	31	3	96
59	41	28	3	125
31	37	17	2	181
148	7	13	3	108
115	30	16	4	44
78	13	25	3	107
58	11	34	4	110
130	17	3	4	45
121	13	14	4	63
121	25	37	1	171
77	23	38	4	57
56	20	21	3	145
42	17	24	2	11
84	23	12	3	172
34	30	17	3	67
45	4	9	4	135
22	14	11	2	206
36	23	27	3	192
80	19	20	3	65
127	35	4	2	57
94	36	30	1	163
137	11	23	2	202
91	8	25	1	40
33	20	19	3	176
33	28	2	4	23
11	1	33	3	92
3	6	13	1	156
34	6	39	2	113
103	30	31	3	12
28	5	32	1	199
151	2	34	4	47
66	13	41	2	117
94	37	22	4	102
134	9	5	2	134
1	39	7	1	145
144	18	3	1	1
87	38	40	1	78
67	23	29	2	122
103	18	26	3	147
51	22	35	1	58
115	1	18	3	129
60	3	6	2	5
42	34	28	4	101
40	20	15	1	29
80	41	1	2	197
26	23	8	4	33
75	12	16	4	113
59	40	36	2	187
143	5	10	2	123
151	23	14	4	84
122	34	40	3	32
19	23	36	1	168
97	6	24	4	84
144	22	15	3	51
22	22	33	1	11
44	25	25	3	138
51	6	4	4	134
64	27	9	1	30
81	8	38	3	150
51	39	31	2	205
32	38	6	4	35
10	12	39	1	202
124	18	5	4	91
32	5	26	2	82
138	4	32	2	11
80	30	19	3	87
116	10	11	3	90
14	5	1	1	126
44	33	16	4	89
110	24	34	4	15
139	17	29	4	54
123	9	37	4	154
151	6	2	4	109
53	12	30	3	39
46	5	35	4	77
144	30	18	3	68
64	31	7	2	3
54	24	10	1	205
63	39	20	2	104
48	32	27	3	131
64	20	12	4	174
85	40	13	3	35
108	10	41	4	26
142	13	8	1	4
105	22	22	2	138
72	41	23	2	86
63	26	28	1	67
139	27	21	2	182
88	40	17	3	54
1	7	9	2	161
147	2	3	4	112
119	12	25	1	95
136	38	15	3	110
66	22	31	1	104
126	30	27	1	168
142	19	12	4	94
122	26	16	3	181
16	27	17	1	171
86	2	6	3	30
117	21	26	4	145
3	18	10	2	164
110	11	8	2	19
46	7	3	1	57
107	35	32	2	22
132	13	18	1	47
52	9	11	3	122
14	15	36	4	122
42	32	2	3	25
78	38	37	1	60
71	34	24	4	108
54	40	33	1	67
86	31	13	2	159
21	33	7	3	202
72	34	35	2	60
127	25	29	3	4
3	23	28	2	13
144	36	20	1	70
74	18	21	1	170
84	34	4	2	111
106	31	40	3	8
65	29	5	1	131
63	25	1	4	157
31	6	34	2	137
70	39	38	4	159
104	35	22	3	13
106	41	19	1	98
25	7	14	3	116
15	32	23	4	116
15	34	30	3	43
41	39	41	3	62
133	19	39	1	151
37	37	31	2	154
19	7	39	1	189
29	25	21	3	15
78	28	13	2	204
11	3	4	3	169
112	28	5	1	2
44	27	2	2	206
31	28	8	1	107
6	7	23	2	101
72	11	11	3	6
73	13	34	4	75
75	34	38	4	9
107	16	19	4	78
138	2	25	3	9
69	5	12	3	87
146	35	29	3	32
118	25	17	4	60
127	37	14	2	182
86	25	24	2	20
145	30	22	4	61
39	24	26	3	39
151	15	15	1	35
123	35	28	3	117
90	21	35	4	191
87	25	9	3	141
150	29	33	3	170
110	25	3	3	159
33	32	7	2	30
130	5	36	2	115
19	19	27	2	14
63	14	30	3	66
12	33	41	2	51
46	19	40	1	129
42	25	16	2	195
124	21	10	4	77
100	39	37	4	199
124	6	6	4	44
87	30	20	2	105
94	31	32	2	64
51	27	18	1	50
33	21	1	1	18
22	20	7	4	167
34	1	5	4	7
7	27	14	4	22
119	38	9	4	92
6	38	27	2	1
76	14	31	2	187
7	29	4	2	24
113	6	33	4	127
46	39	8	1	85
145	32	24	2	57
104	4	25	3	121
36	14	21	2	72
86	28	19	1	125
91	32	1	2	151
106	3	23	2	127
76	11	16	2	140
3	25	18	1	103
139	29	11	2	43
89	3	30	4	83
59	33	38	2	80
47	29	29	3	72
137	15	12	1	166
139	8	2	2	135
91	22	20	1	111
49	17	13	3	196
86	29	17	3	15
42	41	22	4	95
140	22	41	1	63
22	16	36	3	183
36	41	39	1	117
49	15	32	1	184
104	39	3	1	170
137	16	35	1	74
39	20	6	4	138
16	14	40	3	17
41	22	34	1	2
13	32	10	1	171
28	7	28	1	68
76	17	15	2	107
133	40	37	2	160
7	13	26	2	50
150	23	25	3	15
96	28	33	3	20
137	26	17	1	91
148	13	9	1	139
68	30	4	1	127
48	2	30	1	105
107	18	24	2	14
136	11	7	1	77
38	10	14	2	4
151	26	23	1	157
46	6	19	1	6
6	10	40	4	15
76	37	1	1	122
71	17	37	3	67
109	13	16	2	87
65	23	35	1	27
28	30	34	1	69
77	2	39	1	153
136	31	38	2	171
98	13	28	2	48
130	34	18	3	86
98	34	5	1	51
136	27	32	1	54
75	22	13	1	43
86	24	8	3	81
38	9	22	1	22
61	36	29	1	106
119	13	15	4	151
75	29	31	2	16
20	12	27	3	123
22	15	41	2	2
5	33	6	1	148
80	18	12	1	67
95	19	26	4	193
138	27	20	4	43
135	21	11	1	169
58	33	36	1	107
107	28	10	1	12
130	15	1	3	1
140	16	21	2	23
133	10	3	4	139
22	36	2	3	56
42	23	19	4	93
53	21	8	3	157
60	33	37	4	86
59	5	30	4	27
2	17	12	2	62
24	31	22	2	40
15	16	38	1	13
109	28	25	1	206
96	21	9	2	119
96	15	7	2	152
151	34	41	2	138
125	20	31	1	120
1	9	21	2	116
41	30	35	1	177
18	23	5	4	5
132	12	2	4	24
151	7	4	3	105
40	37	36	3	49
43	22	11	4	17
123	5	18	2	174
31	7	16	4	13
129	40	10	3	91
103	3	33	2	122
130	8	39	1	102
93	31	24	1	127
75	3	14	4	131
85	31	17	4	65
1	20	34	3	124
115	37	13	1	38
6	27	3	4	172
36	16	6	2	200
18	12	23	3	53
115	9	40	2	10
47	6	15	1	95
62	13	32	2	147
87	6	26	3	52
31	18	28	3	172
130	3	20	4	79
4	2	29	4	103
24	27	27	1	132
106	37	3	1	171
39	33	29	4	44
109	36	34	4	72
127	39	11	4	153
108	15	30	2	120
32	8	9	2	1
42	4	21	2	192
2	31	39	4	6
85	24	27	2	95
4	16	8	3	51
41	15	38	3	182
57	41	20	4	1
90	30	14	2	154
87	37	2	3	69
65	30	26	1	150
20	20	5	2	25
123	23	24	4	121
120	2	28	3	21
79	14	19	3	153
48	10	6	2	167
112	35	1	3	59
94	7	36	1	59
4	12	13	1	161
20	24	35	1	13
4	8	32	1	107
95	8	17	2	157
51	30	15	2	3
124	2	18	3	131
44	4	37	3	197
82	27	22	3	55
47	21	16	4	132
148	39	10	4	11
83	5	31	1	113
31	23	33	2	85
20	26	41	1	174
4	17	7	1	189
81	38	23	2	39
34	25	40	4	33
25	31	4	2	188
20	16	25	4	119
17	26	12	4	175
102	11	33	3	45
146	2	36	3	81
76	40	30	1	9
110	16	2	2	99
80	40	18	2	42
73	36	31	1	111
51	37	11	3	92
150	17	41	1	192
6	19	14	3	174
82	38	19	3	13
126	9	9	2	105
76	8	28	2	55
6	11	6	3	72
112	20	29	2	148
138	32	15	3	117
62	40	12	2	56
57	11	32	1	124
12	8	40	1	19
125	4	16	1	10
3	41	24	4	90
12	23	39	2	36
76	5	5	3	30
140	15	37	2	74
38	7	10	3	14
88	36	4	4	43
92	39	26	3	101
69	1	20	1	62
19	39	23	1	128
82	2	8	1	144
126	38	3	4	132
21	28	38	4	59
116	35	35	3	116
29	19	13	2	185
65	28	17	4	126
95	22	1	1	145
125	26	7	1	72
38	18	25	1	116
11	14	34	2	67
14	8	21	3	17
44	17	27	1	152
82	14	39	4	2
49	11	22	1	155
128	21	3	4	14
30	39	18	1	178
148	20	14	4	198
88	35	20	2	167
29	18	30	1	136
129	28	29	4	6
123	33	12	4	203
140	34	36	2	91
43	39	27	1	36
82	22	23	2	71
66	5	22	3	166
57	24	6	2	62
61	13	37	2	203
22	11	40	2	65
14	33	13	4	120
68	4	38	1	6
70	24	17	2	204
33	1	4	3	3
30	30	2	2	81
117	32	35	1	168
104	19	5	4	107
57	34	10	2	165
100	23	21	1	146
91	37	9	2	172
126	27	24	3	162
13	12	31	3	62
122	7	33	4	2
86	6	28	4	69
3	20	1	2	178
21	1	11	3	61
29	32	26	3	9
66	15	16	3	188
7	35	7	4	20
39	41	8	2	206
39	40	15	2	2
129	10	34	4	199
99	29	32	2	139
59	31	19	3	205
78	19	1	4	192
62	24	25	4	185
46	12	41	4	131
86	1	27	2	68
8	15	4	3	4
131	29	7	1	172
143	19	16	2	72
14	19	24	4	106
7	30	41	4	19
59	26	6	3	4
149	3	21	1	179
105	39	40	3	9
146	17	9	1	176
84	10	37	4	13
112	14	18	1	136
72	1	15	4	87
96	11	13	1	1
117	20	28	2	6
116	37	29	2	143
126	31	33	3	178
110	30	11	2	191
68	3	8	4	17
114	7	35	2	184
4	35	38	1	177
7	16	10	3	3
14	18	17	3	73
96	36	3	4	19
17	27	26	2	134
73	21	23	2	13
25	8	31	4	79
97	9	12	1	38
69	22	2	4	146
64	16	14	3	65
143	18	22	1	89
122	3	36	1	102
115	34	34	1	198
89	10	19	3	82
112	7	32	3	67
26	8	20	2	126
63	21	25	3	112
68	39	39	3	89
146	40	5	2	119
67	17	30	1	93
45	21	32	2	131
106	18	9	1	100
79	22	5	1	33
78	22	39	2	19
6	34	20	2	18
106	23	37	3	135
59	11	41	4	52
26	36	6	1	139
11	10	22	3	193
90	20	40	2	16
73	12	35	3	182
135	1	2	4	196
63	10	4	3	168
32	1	23	3	131
50	14	36	3	105
59	24	16	3	172
13	36	19	3	206
108	8	27	3	184
140	8	8	1	127
52	29	3	3	133
147	12	29	3	17
34	37	26	2	44
24	33	24	4	43
148	3	17	4	14
60	16	30	4	82
81	27	31	3	87
16	29	34	1	154
123	8	15	1	175
5	39	33	1	15
134	22	28	2	174
99	23	1	3	137
130	41	7	1	6
113	5	38	3	1
44	12	11	2	128
148	18	18	4	114
6	35	12	2	88
69	32	14	2	78
4	31	21	1	181
77	14	10	1	185
18	10	13	3	146
73	15	25	4	173
117	11	3	4	93
43	3	16	2	21
144	39	5	1	32
142	26	34	3	152
35	41	11	2	141
67	22	25	3	186
62	18	6	3	9
54	11	36	1	193
89	2	23	1	108
41	21	13	4	106
20	6	32	1	204
54	10	31	3	179
61	31	28	1	57
134	35	14	2	111
41	31	10	1	151
69	18	1	2	181
149	18	7	1	187
20	31	18	2	2
73	22	9	1	42
50	34	17	1	3
94	33	20	2	87
55	5	21	4	19
64	8	41	1	196
16	37	15	1	62
77	21	4	1	172
137	4	19	2	150
93	16	37	3	138
115	4	8	4	115
17	37	35	1	2
140	41	38	4	42
77	20	22	3	5
24	4	30	3	73
95	11	2	2	168
35	3	26	4	38
127	23	40	2	77
12	15	24	4	100
58	9	27	3	76
16	15	39	2	162
21	5	29	3	169
6	41	33	1	181
103	32	12	1	66
114	14	7	3	62
143	39	30	3	50
142	9	20	2	178
18	25	41	2	115
143	9	32	4	192
139	19	36	4	156
116	38	31	2	15
115	26	4	3	99
9	14	9	1	78
53	1	10	2	22
147	34	2	1	31
78	31	3	2	143
65	37	33	3	9
7	37	19	4	31
25	28	34	3	140
98	16	29	4	49
1	28	6	1	50
90	40	11	3	10
105	37	8	4	77
17	34	1	2	144
51	28	28	2	34
51	20	24	2	181
141	1	17	4	119
79	7	27	3	174
9	7	26	2	76
5	40	35	4	65
94	22	16	4	164
43	7	37	1	15
29	1	12	2	17
130	36	40	1	37
116	1	21	4	44
120	1	22	1	120
90	27	25	2	137
129	25	14	1	92
151	3	39	3	145
54	31	15	4	15
8	25	13	3	98
115	12	5	2	125
37	13	23	2	40
81	5	7	4	114
80	21	38	1	49
50	38	18	4	199
5	20	16	2	17
64	7	20	4	147
55	24	37	4	6
102	26	15	2	198
103	1	1	2	88
84	22	29	4	151
121	10	36	2	109
29	38	25	2	10
69	28	32	1	133
70	26	31	1	71
29	20	27	4	51
112	19	3	4	8
139	41	17	3	185
120	20	39	2	157
21	12	4	1	164
41	29	26	4	138
145	31	34	4	30
19	14	33	2	95
148	2	24	1	79
121	8	5	3	172
120	34	6	2	66
75	15	2	1	203
80	29	41	4	39
52	6	10	4	82
120	13	30	2	32
31	3	38	1	72
10	33	19	2	22
55	18	8	2	20
40	9	18	2	172
138	6	9	3	85
8	29	40	2	106
74	15	23	3	174
139	9	13	3	101
4	36	11	1	5
59	28	14	4	157
90	24	28	1	159
56	19	22	3	117
124	1	28	1	168
57	10	21	1	204
130	14	35	3	170
71	21	12	3	44
126	5	19	4	44
16	32	21	2	111
13	40	20	1	20
136	39	14	4	141
77	6	41	4	198
14	6	38	2	63
140	35	27	4	53
14	2	5	3	6
109	31	35	3	180
56	13	31	1	57
112	39	2	1	118
28	41	18	1	168
6	31	37	4	16
29	34	3	3	48
8	19	8	3	12
102	3	24	1	160
97	35	23	4	148
24	18	16	1	26
39	35	30	1	21
65	35	10	3	134
115	40	6	2	11
109	14	13	1	81
63	16	11	2	55
22	4	17	2	38
41	20	32	1	119
63	5	34	3	182
121	41	40	3	149
110	7	15	4	50
106	9	33	2	175
128	41	26	4	7
74	4	29	2	23
145	39	9	3	66
151	25	12	1	127
107	38	36	2	6
50	7	1	1	49
151	28	22	2	129
98	37	39	2	40
131	5	4	1	80
150	1	7	3	204
19	35	25	2	131
75	28	35	2	172
117	8	11	3	136
72	36	28	1	52
143	3	37	1	4
148	35	15	4	86
58	22	3	2	160
107	13	20	2	16
26	26	29	3	168
104	21	41	1	27
90	12	26	2	104
120	3	13	3	100
7	17	34	2	51
77	10	8	1	130
101	16	23	2	187
44	9	6	2	204
24	36	14	4	25
4	11	1	4	134
87	7	38	1	75
80	34	25	1	84
44	7	24	1	139
131	17	10	3	136
83	40	2	2	130
57	36	12	2	6
5	12	22	3	18
10	39	17	2	1
72	32	18	3	200
21	31	27	4	46
124	35	16	4	81
120	35	40	3	189
100	10	30	4	131
92	18	4	4	70
81	29	19	3	67
96	24	31	3	164
40	16	7	1	31
97	36	33	3	194
110	28	39	4	27
13	5	9	3	38
127	2	32	2	118
54	19	21	1	190
66	30	5	2	22
151	40	3	3	76
125	41	36	3	100
56	4	13	2	26
60	32	39	4	139
133	32	5	1	99
1	38	10	3	20
123	29	35	2	89
119	6	23	1	143
135	25	7	2	100
14	12	33	4	68
60	21	17	1	98
130	37	41	4	72
57	37	30	2	156
66	16	26	3	169
133	2	19	3	14
1	17	31	2	55
5	24	15	2	140
39	15	27	2	83
130	19	9	1	5
5	37	24	1	103
37	23	34	2	156
128	17	11	2	87
91	4	28	3	76
48	9	16	1	35
142	17	40	2	80
9	11	25	2	11
29	29	20	1	55
102	2	22	4	197
135	22	37	4	9
136	15	6	4	17
76	39	36	4	40
120	29	38	4	76
54	20	2	4	96
130	11	14	2	31
99	25	4	2	31
149	8	29	4	12
149	12	12	1	205
98	17	1	4	2
100	9	8	1	64
71	26	21	3	129
89	17	18	1	28
61	33	32	3	36
89	26	1	3	118
144	35	17	4	26
126	2	4	1	160
120	36	9	3	17
31	36	18	1	81
67	21	31	4	160
45	6	11	3	75
38	16	13	1	36
124	10	12	4	143
129	23	2	1	86
79	6	37	3	20
78	26	8	4	13
74	30	38	3	119
29	35	41	1	7
89	16	16	2	43
117	4	7	2	47
69	2	40	3	138
146	25	27	3	54
105	1	19	2	47
53	31	5	4	202
119	8	22	1	189
49	21	14	1	11
61	27	30	2	64
94	4	39	4	77
151	5	28	2	70
101	30	25	3	80
140	29	23	4	134
20	21	24	2	197
49	24	21	3	102
141	28	3	1	26
22	1	35	3	4
66	1	34	4	150
13	3	29	4	93
40	26	26	3	121
64	14	32	3	27
37	35	33	1	31
94	2	15	4	206
25	3	10	3	105
4	24	20	1	4
8	1	6	3	132
151	32	30	3	40
110	6	36	2	16
117	14	2	3	138
