width	diameter	pcd	et	dia	manufacturer
21	13	44	92	59	69
1	8	46	50	26	28
2	1	21	26	102	23
10	15	2	87	24	20
10	6	23	105	32	68
22	17	48	36	77	48
5	16	9	49	8	35
13	11	42	41	22	6
19	4	36	54	12	40
9	9	35	86	113	63
24	18	3	103	1	10
11	8	21	82	25	73
6	4	2	21	31	54
2	17	28	40	64	67
21	7	10	2	14	3
25	9	26	126	26	76
8	15	4	41	89	59
17	18	30	57	77	82
2	13	32	35	115	8
22	10	23	66	64	66
26	5	5	43	90	45
2	14	44	53	92	1
25	2	11	8	109	41
25	3	43	28	64	79
21	1	29	9	53	62
9	6	46	82	38	75
17	16	19	122	36	30
10	11	7	30	80	74
10	12	17	111	12	52
5	13	40	122	35	22
22	14	34	67	115	47
10	18	38	39	73	38
25	17	8	12	17	55
5	10	1	109	48	72
3	1	31	67	90	37
7	8	37	85	90	77
15	16	13	28	6	53
20	15	39	110	93	7
19	11	14	63	88	56
15	2	47	81	113	15
9	4	15	51	115	65
12	3	18	39	94	84
10	9	6	71	28	61
26	7	16	119	69	29
14	5	41	107	25	13
18	6	27	46	94	46
19	1	51	108	5	12
14	12	25	58	23	80
19	14	33	39	10	25
7	13	45	47	30	26
23	11	50	44	99	39
21	9	20	35	107	18
3	2	12	113	12	21
19	3	22	56	108	14
25	12	24	52	6	17
18	15	49	44	106	58
12	18	45	114	54	9
11	10	44	25	77	42
7	16	10	80	25	16
24	17	15	64	61	24
23	7	41	63	109	11
10	4	34	84	40	34
3	8	1	94	24	5
3	5	17	92	77	2
7	6	11	7	12	60
20	1	48	122	24	50
6	18	31	68	104	71
15	7	8	6	77	51
6	11	5	40	5	85
4	14	42	115	101	19
22	12	33	13	26	57
6	16	39	7	71	81
17	3	24	21	24	33
15	10	30	104	101	36
9	13	20	64	50	88
8	2	43	114	40	49
12	6	50	24	20	87
13	9	29	40	57	43
17	8	26	72	9	4
23	5	46	115	31	44
25	4	12	81	103	78
17	17	51	100	89	19
25	15	21	49	3	80
3	6	35	59	116	22
14	9	19	119	50	25
17	10	14	18	29	47
13	12	27	83	39	9
23	15	38	68	71	89
26	4	9	23	87	24
4	1	7	5	94	58
7	3	23	52	15	38
9	16	6	88	72	20
11	11	37	23	52	88
23	17	13	114	35	13
24	8	32	91	94	33
10	2	36	85	26	26
9	7	49	83	54	39
18	14	25	109	30	78
10	13	4	66	25	4
8	18	2	120	8	12
6	6	28	55	115	41
21	17	47	113	31	35
19	5	18	32	8	18
26	12	3	35	85	31
23	2	16	26	47	72
10	1	22	76	19	64
17	5	40	60	54	17
5	7	44	100	84	6
20	18	27	42	91	84
2	4	49	59	53	61
6	14	48	34	45	73
26	11	13	117	81	82
3	9	39	27	39	28
11	3	41	3	84	37
13	15	1	34	112	51
14	16	28	114	24	36
25	10	45	15	20	81
18	2	46	73	35	23
21	8	14	49	30	10
1	6	15	49	15	59
12	1	47	92	98	1
4	13	23	90	14	67
4	15	30	78	21	5
9	17	16	106	92	74
20	5	24	102	86	70
8	7	31	74	63	16
26	9	21	19	58	75
5	11	29	56	43	60
20	8	5	111	16	42
4	12	22	89	38	7
13	18	19	50	7	68
13	3	7	38	58	52
13	14	38	46	81	85
16	10	50	118	80	62
12	4	35	88	96	55
24	16	51	92	39	63
12	13	10	125	18	46
8	4	3	25	28	21
7	9	8	24	8	83
13	17	40	65	27	50
6	15	33	71	35	49
17	12	34	85	47	65
1	10	43	62	65	48
8	11	18	83	12	44
12	14	9	83	67	2
6	13	25	23	8	87
18	18	11	67	25	27
8	6	32	64	72	32
6	2	26	69	114	53
18	5	37	49	91	15
2	8	17	113	22	14
12	7	2	108	23	56
9	3	4	29	85	34
24	1	42	36	59	86
14	7	20	46	8	77
11	16	36	31	33	69
23	3	6	47	12	76
12	5	12	78	17	79
7	2	38	10	7	30
6	12	43	104	30	43
5	8	42	43	89	8
18	11	6	84	53	11
3	17	30	124	25	71
15	1	37	89	28	66
4	18	15	20	76	40
26	10	4	24	38	3
22	13	8	89	15	45
2	6	14	33	99	29
21	15	24	106	102	57
19	8	25	17	59	54
5	4	27	115	26	41
12	16	32	42	32	71
2	9	3	75	111	82
5	14	19	36	96	88
26	2	39	80	36	66
24	10	11	80	89	30
17	9	45	70	66	6
4	5	20	121	13	23
14	13	35	18	48	68
16	14	16	122	8	8
19	12	5	49	27	51
25	18	36	30	16	14
22	11	44	113	96	46
25	16	18	100	40	27
20	6	34	123	23	11
14	3	40	45	73	32
7	1	49	97	109	57
17	15	31	2	87	40
12	17	17	61	21	53
22	4	10	70	39	36
22	7	51	59	101	18
2	3	46	102	107	54
17	2	23	51	57	62
1	1	41	118	100	69
18	13	12	91	45	16
1	4	33	20	61	81
15	12	50	7	1	44
19	6	47	89	87	10
15	18	48	126	22	1
7	10	26	107	24	39
1	9	13	67	55	17
25	8	28	7	27	65
26	16	2	74	12	80
18	7	22	64	40	79
9	15	29	109	28	52
15	17	21	101	38	9
10	5	1	73	106	87
22	2	9	88	65	63
11	15	7	24	96	29
2	11	30	105	103	72
21	14	13	110	104	75
14	1	44	20	15	83
8	8	39	71	58	67
25	11	38	59	41	31
13	13	15	111	95	20
25	7	34	62	21	85
10	14	10	49	29	12
23	12	7	28	91	59
6	10	19	95	56	35
10	16	29	34	41	33
4	3	33	4	49	61
7	5	3	82	88	84
23	4	23	57	56	45
1	18	16	58	24	55
24	6	17	51	11	15
10	7	47	67	15	48
19	9	9	62	25	74
10	17	27	35	47	22
7	4	32	37	93	42
22	18	5	94	94	56
22	9	37	21	74	49
4	10	41	6	35	25
17	14	49	117	110	13
7	17	25	115	16	3
6	5	51	51	14	34
8	16	12	60	115	43
18	1	14	113	16	28
6	8	40	92	33	7
5	6	43	12	66	19
8	13	1	106	55	86
18	3	42	9	9	5
21	4	4	40	20	64
15	11	2	85	17	38
24	2	24	17	112	78
5	15	20	60	25	2
7	12	48	87	80	47
13	7	11	20	28	4
23	10	36	94	97	70
26	17	6	63	101	77
11	2	31	107	92	24
21	11	8	43	92	89
20	12	45	112	112	37
14	18	18	2	69	58
20	14	50	13	105	76
4	6	26	113	86	50
1	5	22	40	33	21
4	16	35	41	52	73
22	1	46	52	25	60
15	9	28	34	91	26
16	13	21	114	27	33
18	9	15	58	87	89
13	8	50	100	83	79
15	15	18	13	86	19
22	3	11	92	104	67
13	16	26	62	99	22
2	12	41	126	86	62
2	2	51	20	116	85
3	18	6	95	102	48
14	15	37	80	43	37
14	17	9	102	40	8
13	5	16	68	114	35
16	8	23	64	65	56
23	1	2	66	92	25
5	3	12	68	34	31
11	14	28	5	85	40
1	11	39	112	84	75
3	10	8	73	73	11
16	4	44	38	72	39
26	6	20	114	89	28
3	13	5	51	54	30
11	5	33	98	41	6
24	7	36	43	50	42
19	2	40	35	69	55
21	6	22	100	21	73
4	14	43	19	109	46
20	4	13	83	110	12
14	3	21	106	116	81
4	11	17	2	54	54
3	7	27	19	56	74
23	16	25	10	49	64
11	17	32	44	69	57
19	15	42	126	14	9
1	13	34	105	38	53
12	8	19	19	68	26
26	18	46	106	4	59
10	8	48	57	101	83
8	1	45	28	105	87
11	12	14	72	28	5
24	9	31	112	105	45
14	10	24	70	28	44
16	3	47	117	52	50
9	2	10	54	86	77
6	1	30	70	85	27
16	17	3	125	24	43
10	10	49	122	99	14
25	14	35	118	60	23
16	9	1	3	92	16
19	16	4	45	96	72
17	7	38	4	12	86
17	13	7	102	60	41
1	14	29	27	19	65
17	4	41	47	17	10
23	12	15	12	37	78
21	5	21	109	56	66
4	8	24	126	99	2
24	11	22	21	51	80
23	18	10	59	79	52
15	12	40	96	66	88
9	5	50	72	87	49
9	12	23	1	58	29
25	6	51	80	50	21
3	16	44	32	10	32
25	5	2	9	112	60
16	7	25	92	13	36
6	3	45	78	39	82
14	9	32	10	4	34
21	10	48	32	40	51
11	1	1	93	18	71
22	15	36	29	38	76
11	4	6	101	51	84
26	14	30	12	33	61
11	9	43	108	11	20
3	11	19	57	21	63
22	5	31	71	66	69
21	18	39	33	27	4
20	2	33	100	95	7
24	15	46	55	98	18
1	2	18	76	50	13
25	13	3	87	2	3
1	12	26	86	115	24
8	3	35	110	21	17
12	11	28	1	100	15
6	17	14	26	66	38
2	10	34	49	37	68
19	6	37	58	107	70
17	6	42	52	28	58
2	7	12	123	25	47
26	13	29	54	20	1
21	3	27	86	11	7
4	17	49	68	32	63
16	1	11	72	33	10
5	9	17	74	24	62
24	4	7	124	68	56
15	5	9	70	4	37
8	15	5	19	77	83
5	12	47	80	54	87
25	1	20	16	11	19
9	18	13	49	52	3
14	8	16	34	31	9
15	8	38	41	35	60
15	12	4	3	105	85
10	16	8	37	87	29
26	15	47	28	37	73
9	14	32	126	27	6
7	18	50	109	68	69
22	16	16	14	103	79
3	4	24	58	81	53
25	14	23	76	70	86
15	7	42	117	53	23
3	17	46	126	59	16
17	11	4	126	15	21
7	14	41	45	114	36
10	6	31	11	91	30
12	15	40	22	72	25
14	2	49	12	30	80
15	6	25	40	67	55
23	14	1	2	93	33
21	12	6	116	4	46
15	16	34	111	73	12
6	7	29	14	37	32
17	1	28	107	99	75
14	6	30	86	79	18
16	12	8	63	22	72
8	14	20	20	6	35
23	8	11	30	46	24
5	17	36	58	15	1
1	17	44	77	29	27
3	3	51	76	111	66
2	16	17	23	19	38
18	10	5	117	50	41
25	10	27	125	25	49
5	5	14	28	2	68
20	13	9	126	31	28
24	11	10	12	24	40
11	17	22	88	12	82
25	6	33	106	78	34
6	8	12	109	92	70
25	11	15	86	114	22
4	6	21	70	53	52
18	17	45	105	97	64
23	6	19	125	108	17
24	6	2	75	43	48
14	11	48	125	90	4
10	15	43	95	6	47
9	3	37	15	19	11
15	9	35	106	30	42
4	9	18	9	19	51
11	17	38	119	8	78
5	5	13	34	12	74
24	13	39	38	41	59
17	10	3	10	33	88
16	12	35	51	94	76
9	11	26	103	64	8
2	7	7	80	30	15
1	13	47	97	21	58
6	7	17	98	57	89
5	9	5	6	78	71
14	10	46	29	41	57
24	18	25	34	14	31
12	5	39	53	107	20
22	17	19	34	98	61
22	13	30	101	32	39
19	2	6	120	52	67
21	1	18	24	26	77
11	1	26	125	76	26
18	9	16	59	18	2
7	1	40	46	65	45
23	2	28	24	25	14
4	6	36	87	46	81
26	10	15	22	5	84
7	8	20	116	5	43
26	11	31	33	25	65
26	18	23	31	29	13
1	6	49	3	5	44
9	1	34	90	1	54
15	5	44	58	11	5
1	2	8	13	79	50
3	14	45	61	14	80
2	4	50	94	60	7
12	14	37	72	64	68
9	7	14	36	6	82
16	1	43	126	77	30
12	3	38	7	30	59
20	2	29	49	48	38
9	6	48	35	102	40
26	5	42	76	30	32
25	2	7	70	13	51
9	4	51	2	36	70
12	8	41	18	97	35
25	7	1	33	35	75
7	2	21	83	23	28
13	16	24	73	20	39
3	18	32	105	105	15
8	17	11	118	103	14
15	9	33	122	69	13
6	15	3	27	69	77
12	18	4	90	12	8
11	3	2	42	27	46
24	13	27	10	12	29
20	3	10	41	4	25
5	8	22	65	7	49
3	1	9	68	58	47
10	12	13	44	75	50
18	5	47	30	92	86
19	1	35	94	115	20
26	14	12	9	21	67
22	10	17	82	14	58
13	16	20	47	93	1
21	9	34	31	6	48
2	12	31	117	98	60
5	10	18	54	32	56
21	4	26	3	15	63
24	11	23	58	33	9
21	7	43	82	32	55
12	18	8	97	36	81
21	10	9	27	36	43
4	2	12	21	91	57
10	4	5	64	10	72
22	7	15	40	42	52
1	13	51	72	62	61
24	7	21	16	19	44
24	5	6	44	104	3
9	1	25	3	31	5
23	12	30	118	17	16
4	13	28	82	51	62
12	4	1	104	52	74
12	3	13	126	33	23
11	10	39	126	46	22
16	17	29	69	2	37
6	4	11	91	110	6
23	16	42	35	90	65
13	8	2	95	78	88
22	14	40	26	23	27
19	6	7	34	113	24
18	7	4	69	11	17
25	4	16	78	99	33
9	3	3	61	32	45
6	7	50	75	24	84
8	4	19	82	107	79
13	3	48	99	54	19
1	13	14	19	108	76
25	12	37	39	56	53
9	18	33	113	82	89
11	3	49	65	89	41
22	4	22	120	6	85
20	16	38	117	70	10
7	14	46	65	72	4
12	5	27	25	93	78
13	2	44	103	30	73
16	13	36	100	90	21
24	18	41	82	20	2
4	1	10	51	112	42
5	3	32	116	13	64
11	18	24	112	83	83
5	2	45	1	99	36
9	3	17	27	25	12
13	9	47	33	85	11
10	10	12	88	63	54
2	10	35	121	12	26
19	6	16	18	3	66
7	11	36	4	58	71
15	13	43	30	106	34
6	7	6	18	88	69
15	10	20	59	43	87
14	14	31	116	89	31
11	16	5	52	91	18
17	7	37	113	81	7
1	17	50	55	36	12
18	6	1	38	38	80
19	8	29	12	73	63
15	8	49	16	24	81
9	11	41	9	66	28
11	18	40	38	63	67
24	15	8	11	109	6
2	9	10	38	96	66
1	3	30	71	93	31
2	2	13	104	89	18
14	15	34	50	97	45
20	10	32	80	61	82
3	13	22	78	28	25
23	17	33	76	68	29
12	15	23	121	31	36
14	10	2	110	85	65
17	8	44	108	45	44
19	16	45	11	95	8
19	11	11	95	30	64
7	18	51	26	92	22
1	18	28	83	34	20
4	8	9	3	6	75
11	1	15	115	73	61
6	16	27	119	74	83
7	10	7	32	9	34
10	16	14	20	39	23
16	8	4	53	36	46
5	11	21	35	93	24
18	4	38	71	21	52
2	9	26	25	21	40
7	18	42	78	71	41
1	17	24	51	1	60
3	15	48	47	23	17
20	4	18	5	25	68
14	8	3	89	74	85
24	16	19	126	4	13
13	11	46	17	47	58
2	10	25	85	4	11
22	6	39	111	109	43
20	7	35	78	9	88
1	3	19	109	77	15
20	9	12	65	90	30
21	11	32	75	25	50
4	16	31	118	15	89
8	7	26	70	10	71
22	12	28	28	5	2
17	15	17	89	5	27
23	16	47	62	66	26
13	11	51	78	45	49
6	1	13	82	22	76
17	12	9	24	62	32
5	6	24	10	98	77
25	6	44	110	18	4
8	15	22	122	37	38
19	9	2	81	84	35
26	10	10	1	53	9
11	2	4	99	22	79
8	14	15	14	31	72
6	16	21	59	11	51
22	9	20	80	12	55
26	12	11	45	14	69
6	13	16	48	102	42
6	14	8	96	38	10
4	7	39	49	34	21
24	13	18	1	36	54
19	14	3	29	91	48
18	16	50	3	100	59
3	1	33	99	88	14
18	15	41	31	48	1
4	2	5	67	110	3
15	3	36	57	72	47
4	5	29	35	10	53
16	7	45	91	64	5
1	1	37	78	12	56
6	9	23	72	25	78
25	16	48	82	86	37
2	8	27	45	112	87
3	9	40	55	17	33
20	17	42	107	96	73
25	4	46	66	63	62
1	11	25	93	3	16
5	18	7	81	5	39
3	12	38	118	92	19
19	9	30	28	68	84
16	11	34	8	31	86
7	2	14	59	37	74
3	11	43	87	89	57
21	2	1	126	109	70
16	6	6	73	25	7
9	2	47	37	73	31
11	17	20	15	115	80
13	11	49	96	16	12
7	4	17	48	38	11
16	15	19	44	30	82
22	12	26	33	90	73
23	14	35	105	7	83
24	11	12	100	73	23
20	3	25	39	17	43
2	16	23	68	5	34
2	4	37	22	105	32
11	14	8	78	107	52
13	6	10	89	2	67
1	6	1	32	4	38
1	14	27	111	53	77
10	8	30	102	20	78
8	2	14	65	93	84
2	10	47	50	47	59
22	16	3	96	52	4
13	15	4	97	8	48
1	14	42	25	40	29
10	13	46	40	96	17
16	4	31	75	116	88
2	3	33	111	59	56
4	9	38	23	36	8
5	18	49	121	10	30
8	9	7	42	14	81
12	8	6	115	15	13
22	11	32	11	28	68
3	15	13	96	34	70
3	4	21	111	82	50
3	13	2	107	101	44
9	5	11	85	79	33
8	7	34	9	51	9
2	1	24	71	8	46
17	10	16	35	58	15
8	3	48	75	83	3
24	11	40	94	67	69
26	12	36	102	114	86
14	18	15	96	99	35
7	12	44	71	83	14
20	5	43	84	1	36
22	2	41	27	8	75
20	15	51	17	40	65
12	15	26	46	53	16
8	7	28	79	106	66
13	5	35	126	38	5
11	5	45	90	31	58
9	18	22	20	89	26
18	17	18	86	67	6
15	6	5	116	40	61
25	6	50	22	8	47
17	14	39	104	111	49
18	3	29	103	88	21
13	6	8	64	64	74
10	10	20	58	114	37
3	17	42	70	112	40
7	8	15	68	26	64
26	18	14	70	31	18
8	3	9	17	43	62
17	5	48	13	20	22
14	17	1	123	17	20
8	1	50	4	71	63
22	14	4	85	35	28
23	7	34	61	89	2
18	14	17	26	108	87
5	18	37	98	21	42
9	5	19	62	80	57
10	14	33	16	36	79
18	12	32	7	34	10
21	18	12	101	87	45
9	15	44	26	68	71
21	4	42	1	44	72
24	15	35	15	15	60
18	10	39	51	52	85
11	8	47	79	29	76
4	8	34	52	60	55
16	3	10	115	20	24
11	5	23	75	78	39
23	6	3	78	48	27
16	4	9	85	37	19
17	8	13	124	8	51
25	5	30	91	22	25
17	4	43	76	27	54
14	9	51	73	65	1
23	17	31	54	23	53
10	13	25	124	43	89
12	12	29	26	11	41
20	15	40	32	12	54
17	16	33	15	25	31
2	8	45	98	114	12
18	5	36	55	6	7
23	1	5	18	107	80
9	3	18	11	53	53
22	13	49	6	37	11
15	17	6	97	48	10
23	4	20	45	30	5
12	9	22	110	27	72
2	17	16	74	52	28
15	18	26	55	41	62
1	6	38	15	112	88
10	13	24	18	33	51
17	9	11	79	16	87
26	8	28	46	93	30
15	9	46	1	112	86
13	17	41	87	37	46
18	12	2	29	4	4
26	9	27	113	46	44
1	8	7	47	70	35
18	18	21	108	95	37
19	1	19	104	32	59
23	9	4	93	42	67
6	7	37	84	112	14
6	7	32	28	36	26
23	15	40	83	20	23
18	3	9	43	103	60
3	3	14	34	109	1
4	14	8	10	25	66
7	13	12	3	79	82
9	11	1	77	8	21
5	2	15	91	62	34
21	7	17	104	99	20
3	10	50	38	30	29
16	16	39	58	43	77
2	6	18	8	24	79
3	11	10	101	11	76
12	1	16	84	4	69
26	17	48	37	41	49
17	2	25	33	107	83
14	8	6	28	113	40
9	16	28	110	45	48
21	17	5	89	114	6
25	15	9	48	46	68
26	10	45	99	86	63
22	13	13	116	9	32
15	18	3	5	50	64
19	4	46	79	24	22
21	6	7	50	19	13
24	2	49	28	90	89
14	10	22	9	10	55
11	17	35	27	87	70
13	1	39	61	74	33
10	12	21	48	109	84
25	3	31	63	32	18
5	2	51	42	33	27
5	13	48	25	52	15
21	3	40	25	112	85
13	18	17	93	65	65
5	14	6	94	80	17
7	17	43	49	39	75
5	13	11	73	59	50
23	10	29	52	116	42
6	2	34	6	20	3
17	10	50	45	84	45
8	4	47	7	9	57
11	18	42	100	80	43
9	1	36	117	106	78
24	3	20	13	78	74
21	12	38	14	82	25
8	13	27	27	99	73
7	12	2	70	63	8
19	10	28	42	90	58
23	12	26	37	33	56
19	5	8	22	46	38
21	2	41	111	46	39
18	9	24	53	43	47
18	14	33	97	24	9
23	7	12	17	22	41
21	5	23	125	28	71
4	3	37	55	97	36
19	18	44	27	2	16
9	16	30	16	12	2
25	8	25	90	66	52
3	13	16	123	53	81
18	8	10	56	37	61
6	16	46	43	12	19
16	6	41	19	115	31
10	1	45	25	89	24
17	17	1	20	26	42
14	13	42	56	105	3
14	14	50	35	5	5
8	9	37	109	20	80
17	17	2	83	11	72
7	13	27	20	73	6
23	15	32	85	78	35
26	5	38	27	55	11
11	11	3	122	97	17
12	4	14	4	75	58
5	17	4	27	6	69
18	12	19	99	64	54
10	14	15	6	51	7
2	7	40	110	29	53
12	7	33	52	14	12
26	8	26	105	72	21
11	15	12	12	60	38
18	8	7	40	32	20
22	2	18	18	10	29
1	9	23	26	89	64
8	2	49	22	19	60
20	15	1	61	100	66
4	8	51	13	23	59
6	1	38	73	68	74
19	8	10	103	38	1
24	2	44	41	31	88
15	4	15	18	84	83
1	18	35	66	51	49
18	13	23	61	1	77
16	17	37	32	60	79
12	14	11	113	108	43
3	17	26	66	66	23
22	11	47	68	24	41
3	3	28	53	37	18
5	10	25	87	11	67
19	1	17	6	41	85
8	11	6	38	112	27
2	2	48	115	108	2
2	1	2	41	6	13
22	9	45	77	94	70
7	7	16	95	43	10
19	15	27	55	22	61
9	1	43	102	42	22
17	4	8	42	43	16
13	3	31	8	40	26
17	12	20	63	19	68
10	15	9	51	9	81
26	5	24	36	16	62
24	12	29	46	69	39
5	9	50	5	9	89
6	8	36	8	17	45
5	4	30	61	27	73
16	11	22	49	101	32
24	7	5	24	116	75
14	6	13	90	26	63
12	17	34	38	10	76
12	16	7	64	38	47
11	10	18	28	49	4
25	9	49	50	104	9
19	10	39	117	15	86
1	7	21	38	94	8
6	18	1	49	113	36
23	7	18	116	33	50
24	1	4	105	9	52
15	9	14	14	110	24
11	14	51	6	4	56
21	7	46	10	74	78
13	14	10	75	15	37
24	7	43	45	115	25
6	12	10	19	28	33
8	7	23	115	45	15
2	13	6	13	83	71
4	4	40	106	80	14
20	16	22	15	36	57
14	13	12	8	80	19
4	15	16	117	26	84
15	7	31	56	20	28
10	15	39	74	95	46
23	17	17	99	73	30
20	6	44	79	35	51
7	12	19	22	29	48
1	16	9	22	81	87
20	5	15	120	39	55
12	1	21	34	37	40
25	1	41	56	51	82
26	7	25	126	98	34
13	17	3	120	71	44
7	5	33	64	60	65
22	16	29	108	16	15
22	12	24	9	61	3
15	15	45	50	33	72
15	1	32	74	14	21
22	2	2	32	3	17
16	11	42	28	29	18
24	11	28	32	62	35
10	13	50	52	27	80
25	7	13	89	72	58
21	12	31	47	16	38
24	6	9	63	56	5
18	5	48	114	36	31
25	14	14	68	44	7
18	3	34	11	98	42
11	16	19	102	17	75
14	5	7	26	62	89
19	16	20	65	35	11
23	9	8	4	32	12
26	10	41	64	91	6
10	9	39	63	5	53
12	17	3	31	19	54
14	14	27	24	107	69
8	10	33	3	39	77
6	5	24	4	27	30
23	3	39	16	8	57
26	9	44	91	44	20
26	2	35	53	6	33
16	12	12	1	50	22
17	18	36	44	10	28
17	8	21	58	76	25
3	17	42	7	5	88
8	3	38	126	25	55
8	1	30	69	87	51
13	14	32	92	73	45
26	13	37	33	26	43
23	16	43	1	83	62
3	15	25	6	18	26
4	17	11	103	20	85
8	16	17	67	102	70
2	5	5	99	57	24
2	12	42	6	36	50
16	14	26	54	1	47
4	2	47	110	12	71
8	18	29	24	33	13
23	16	49	87	28	84
15	5	51	52	9	76
10	4	11	33	100	2
18	15	20	23	39	67
20	18	16	22	98	78
1	10	40	57	98	66
4	6	6	56	111	1
11	6	46	30	37	36
20	4	30	31	14	60
21	2	2	19	38	19
8	9	19	49	38	41
7	16	24	12	2	9
3	6	37	122	83	39
20	13	28	115	89	81
14	9	23	16	81	73
21	12	35	64	93	82
19	4	1	114	65	46
12	10	15	71	104	10
23	11	22	102	1	48
6	13	41	77	49	16
18	11	3	39	109	34
14	11	17	37	36	37
17	5	32	39	37	63
7	14	18	126	20	61
26	6	19	96	22	23
7	16	47	98	112	52
25	15	10	58	58	56
3	8	4	120	3	86
16	6	38	45	65	49
22	15	27	69	81	14
20	3	8	113	45	8
20	15	31	62	85	64
1	7	45	7	82	40
19	14	21	84	50	83
7	4	5	100	4	68
24	11	48	106	7	87
4	1	13	57	10	79
2	18	36	76	20	74
23	1	47	27	40	4
12	11	46	109	85	29
6	15	35	76	29	44
6	17	22	10	30	65
10	11	16	82	59	32
3	17	49	2	43	59
14	13	29	39	104	27
13	3	9	10	92	7
1	18	4	87	112	5
1	8	17	35	106	3
15	18	10	60	75	32
18	18	43	6	72	66
23	11	45	72	113	7
25	8	3	6	107	16
8	8	36	97	11	50
9	11	24	45	77	13
8	4	44	43	49	47
9	6	38	108	47	35
26	11	51	60	2	83
15	17	39	93	82	31
22	12	14	56	41	81
1	17	12	117	104	11
21	10	25	97	22	53
16	16	48	48	98	6
9	8	42	4	48	80
6	4	15	126	58	18
25	12	5	53	24	58
5	16	28	105	69	61
5	14	33	23	58	20
10	8	26	36	88	15
20	12	3	66	21	71
7	4	31	19	47	17
3	15	3	42	13	69
4	10	27	30	79	38
7	2	20	14	28	12
9	18	2	122	30	75
16	9	30	95	73	37
25	3	47	1	28	89
9	13	7	44	34	72
2	10	19	67	81	21
8	18	13	11	30	54
11	7	11	114	105	68
22	16	6	78	7	42
11	2	37	106	36	48
4	14	50	15	28	24
4	15	1	7	22	28
5	1	23	120	46	65
26	6	49	69	31	8
5	9	34	107	45	84
17	5	10	23	83	73
21	4	18	68	115	30
17	17	37	110	51	34
2	11	22	70	55	19
13	8	18	59	42	41
11	1	6	96	47	60
21	2	11	60	8	44
21	13	28	93	77	52
5	15	37	82	47	10
4	11	2	14	105	26
22	14	21	50	69	62
19	4	47	109	89	82
12	5	51	86	29	77
24	5	33	31	32	51
4	2	17	97	45	33
13	16	14	86	89	55
23	13	9	84	29	79
12	4	13	15	90	67
22	4	7	121	88	86
23	10	37	126	69	74
12	7	48	51	92	63
2	3	8	60	69	88
13	11	34	24	79	59
22	9	50	87	31	56
6	3	4	22	90	40
1	9	32	84	22	46
25	4	40	113	10	87
18	15	13	75	62	22
19	7	43	44	85	45
4	3	44	80	48	49
21	2	3	95	100	76
22	6	35	97	80	64
19	6	38	99	93	57
9	2	39	75	81	9
23	5	26	108	4	43
3	15	41	40	40	78
15	12	27	82	78	27
7	3	29	112	3	29
1	5	20	18	52	70
17	2	30	5	39	1
15	1	1	87	114	39
21	6	19	28	24	14
7	3	31	89	53	2
19	12	15	4	77	23
21	13	36	71	103	36
16	4	46	56	42	25
12	9	25	66	39	85
4	3	30	99	31	4
20	17	47	8	55	5
21	17	30	6	89	58
16	2	5	7	62	37
12	3	31	40	9	75
2	6	20	76	14	84
